"initial";"final";"count";"time";"imp";"inum";"n";"w";"solver";"sample"
"680166";"181013";"-2";"1.79417490959";"3.7575533249";"0";"1";"6";"dvnd";"0"
"803658";"149911";"-2";"1.65513896942";"5.36090080114";"0";"1";"6";"dvnd";"1"
"773147";"144099";"-2";"1.5611000061";"5.36538768486";"0";"1";"6";"dvnd";"10"
"678589";"146169";"-2";"1.57600688934";"4.64249601489";"0";"1";"6";"dvnd";"11"
"852143";"153435";"-2";"1.63444018364";"5.55377195555";"0";"1";"6";"dvnd";"12"
"828984";"148202";"-2";"1.71981406212";"5.59360872323";"0";"1";"6";"dvnd";"13"
"756653";"136878";"-2";"1.581387043";"5.52793728722";"0";"1";"6";"dvnd";"14"
"780424";"150871";"-2";"1.50946521759";"5.1727899994";"0";"1";"6";"dvnd";"15"
"728377";"148071";"-2";"1.65894198418";"4.91910637464";"0";"1";"6";"dvnd";"16"
"831195";"203222";"-2";"1.62933206558";"4.09008375078";"0";"1";"6";"dvnd";"17"
"769729";"157970";"-2";"1.72639417648";"4.87262771412";"0";"1";"6";"dvnd";"18"
"799161";"143953";"-2";"1.54003000259";"5.55154112801";"0";"1";"6";"dvnd";"19"
"813097";"144403";"-2";"1.6650531292";"5.63074866866";"0";"1";"6";"dvnd";"2"
"833724";"138238";"-2";"1.69243192673";"6.0310768385";"0";"1";"6";"dvnd";"20"
"699630";"150166";"-2";"1.81885409355";"4.65904399132";"0";"1";"6";"dvnd";"21"
"828040";"144678";"-2";"1.59426903725";"5.72333043033";"0";"1";"6";"dvnd";"22"
"714589";"145428";"-2";"1.59650611877";"4.91369612454";"0";"1";"6";"dvnd";"23"
"789223";"141141";"-2";"1.58024501801";"5.59173450663";"0";"1";"6";"dvnd";"24"
"729647";"152628";"-2";"1.6023349762";"4.78055795791";"0";"1";"6";"dvnd";"25"
"754324";"137204";"-2";"1.54202795029";"5.49782805166";"0";"1";"6";"dvnd";"26"
"754645";"159944";"-2";"1.68933582306";"4.71818261391";"0";"1";"6";"dvnd";"27"
"868465";"142326";"-2";"1.66543912888";"6.10194202043";"0";"1";"6";"dvnd";"28"
"818368";"139153";"-2";"1.64655208588";"5.88106616458";"0";"1";"6";"dvnd";"29"
"846259";"146934";"-2";"1.61413383484";"5.75944982101";"0";"1";"6";"dvnd";"3"
"801193";"148329";"-2";"1.65296220779";"5.40145891902";"0";"1";"6";"dvnd";"30"
"697520";"141964";"-2";"1.53267502785";"4.91335831619";"0";"1";"6";"dvnd";"31"
"835314";"153832";"-2";"1.58777999878";"5.43004056373";"0";"1";"6";"dvnd";"32"
"825733";"150093";"-2";"1.49029779434";"5.5014757517";"0";"1";"6";"dvnd";"33"
"783932";"142890";"-2";"1.56879496574";"5.4862621597";"0";"1";"6";"dvnd";"34"
"816577";"141862";"-2";"1.567248106";"5.75613624508";"0";"1";"6";"dvnd";"35"
"630780";"169642";"-2";"1.53005599976";"3.71830089247";"0";"1";"6";"dvnd";"36"
"765228";"145402";"-2";"1.52718400955";"5.26284370229";"0";"1";"6";"dvnd";"37"
"721262";"150037";"-2";"1.5202960968";"4.80722755054";"0";"1";"6";"dvnd";"38"
"771840";"142333";"-2";"1.62912487984";"5.42277616575";"0";"1";"6";"dvnd";"39"
"716414";"159776";"-2";"1.54813885689";"4.48386491088";"0";"1";"6";"dvnd";"4"
"786283";"147485";"-2";"1.59429502487";"5.33127436688";"0";"1";"6";"dvnd";"40"
"735660";"150164";"-2";"1.65263295174";"4.89904371221";"0";"1";"6";"dvnd";"41"
"766849";"142262";"-2";"1.63350296021";"5.39039940392";"0";"1";"6";"dvnd";"42"
"915431";"133991";"-2";"1.63308000565";"6.83203349479";"0";"1";"6";"dvnd";"43"
"736547";"148522";"-2";"1.641051054";"4.95917776491";"0";"1";"6";"dvnd";"44"
"732537";"191701";"-2";"1.60368585587";"3.82124767216";"0";"1";"6";"dvnd";"45"
"670981";"146197";"-2";"1.71580505371";"4.58956750139";"0";"1";"6";"dvnd";"46"
"786194";"143102";"-2";"1.6329100132";"5.49394138447";"0";"1";"6";"dvnd";"47"
"791688";"140150";"-2";"1.5725209713";"5.64886193364";"0";"1";"6";"dvnd";"48"
"803842";"142847";"-2";"1.63098192215";"5.62729353784";"0";"1";"6";"dvnd";"49"
"801954";"139502";"-2";"1.53928399086";"5.74869177503";"0";"1";"6";"dvnd";"5"
"752926";"144609";"-2";"1.6532099247";"5.2066330588";"0";"1";"6";"dvnd";"50"
"707210";"146582";"-2";"1.64692091942";"4.82467151492";"0";"1";"6";"dvnd";"51"
"705667";"143628";"-2";"1.61413192749";"4.91315760158";"0";"1";"6";"dvnd";"52"
"650837";"143005";"-2";"1.57769489288";"4.55114856124";"0";"1";"6";"dvnd";"53"
"848143";"140120";"-2";"1.50680613518";"6.05297602055";"0";"1";"6";"dvnd";"54"
"830767";"139153";"-2";"1.58864593506";"5.97016952563";"0";"1";"6";"dvnd";"55"
"801326";"146196";"-2";"1.7534430027";"5.48117595557";"0";"1";"6";"dvnd";"56"
"735736";"150280";"-2";"1.60779595375";"4.89576789992";"0";"1";"6";"dvnd";"57"
"652747";"153663";"-2";"1.58770608902";"4.24791264";"0";"1";"6";"dvnd";"58"
"876606";"151395";"-2";"1.57826399803";"5.79019122164";"0";"1";"6";"dvnd";"59"
"811400";"141092";"-2";"1.58976101875";"5.75085759646";"0";"1";"6";"dvnd";"6"
"756816";"146725";"-2";"1.59032583237";"5.15805759073";"0";"1";"6";"dvnd";"60"
"753526";"142809";"-2";"1.55749201775";"5.27646016708";"0";"1";"6";"dvnd";"61"
"771491";"140695";"-2";"1.60001897812";"5.48342869327";"0";"1";"6";"dvnd";"62"
"726502";"145875";"-2";"1.63668012619";"4.9803050557";"0";"1";"6";"dvnd";"63"
"827276";"143231";"-2";"1.57616710663";"5.77581668773";"0";"1";"6";"dvnd";"64"
"835478";"149987";"-2";"1.55153298378";"5.57033609579";"0";"1";"6";"dvnd";"65"
"766856";"141015";"-2";"1.48678207397";"5.43811651243";"0";"1";"6";"dvnd";"66"
"834481";"197471";"-2";"1.61052393913";"4.22584075636";"0";"1";"6";"dvnd";"67"
"740857";"163623";"-2";"1.59040307999";"4.52782921716";"0";"1";"6";"dvnd";"68"
"677032";"162087";"-2";"1.5683221817";"4.17696669073";"0";"1";"6";"dvnd";"69"
"625586";"151272";"-2";"1.54888987541";"4.13550425723";"0";"1";"6";"dvnd";"7"
"750729";"156985";"-2";"1.58895802498";"4.78217027105";"0";"1";"6";"dvnd";"70"
"741540";"153569";"-2";"1.67170000076";"4.82870891912";"0";"1";"6";"dvnd";"71"
"813116";"145078";"-2";"1.74937009811";"5.60468161954";"0";"1";"6";"dvnd";"72"
"731115";"172783";"-2";"1.6587228775";"4.23140586748";"0";"1";"6";"dvnd";"73"
"861367";"147552";"-2";"1.58801198006";"5.83771822815";"0";"1";"6";"dvnd";"74"
"772667";"146951";"-2";"1.65779304504";"5.25799075882";"0";"1";"6";"dvnd";"75"
"789056";"144777";"-2";"1.61327791214";"5.45014746818";"0";"1";"6";"dvnd";"76"
"726793";"147787";"-2";"1.54855298996";"4.91784121743";"0";"1";"6";"dvnd";"77"
"863772";"138432";"-2";"1.60606884956";"6.23968446602";"0";"1";"6";"dvnd";"78"
"759563";"172380";"-2";"1.54013395309";"4.40632904049";"0";"1";"6";"dvnd";"79"
"860380";"170553";"-2";"1.62719798088";"5.04464887748";"0";"1";"6";"dvnd";"8"
"680887";"202138";"-2";"1.60740399361";"3.3684265205";"0";"1";"6";"dvnd";"80"
"768703";"151223";"-2";"1.61733484268";"5.08324130589";"0";"1";"6";"dvnd";"81"
"713408";"144728";"-2";"1.5712249279";"4.9293018628";"0";"1";"6";"dvnd";"82"
"784292";"142326";"-2";"1.6544649601";"5.51053215857";"0";"1";"6";"dvnd";"83"
"744773";"134684";"-2";"1.62685585022";"5.52978082029";"0";"1";"6";"dvnd";"84"
"825976";"143916";"-2";"1.67238211632";"5.73929236499";"0";"1";"6";"dvnd";"85"
"616405";"142366";"-2";"1.55279707909";"4.32972057935";"0";"1";"6";"dvnd";"86"
"726053";"142533";"-2";"1.55187511444";"5.09392912519";"0";"1";"6";"dvnd";"87"
"767140";"150952";"-2";"1.49984288216";"5.08201282527";"0";"1";"6";"dvnd";"88"
"854859";"162307";"-2";"1.55340194702";"5.26692625703";"0";"1";"6";"dvnd";"89"
"836539";"194864";"-2";"1.82024598122";"4.29293763856";"0";"1";"6";"dvnd";"9"
"704187";"159055";"-2";"1.63539004326";"4.42731759454";"0";"1";"6";"dvnd";"90"
"775562";"156698";"-2";"1.56938385963";"4.94940586351";"0";"1";"6";"dvnd";"91"
"664178";"160494";"-2";"1.53647994995";"4.13833538948";"0";"1";"6";"dvnd";"92"
"839024";"178446";"-2";"1.65692281723";"4.70183697029";"0";"1";"6";"dvnd";"93"
"824492";"159567";"-2";"1.56101298332";"5.16705835166";"0";"1";"6";"dvnd";"94"
"738216";"180019";"-2";"1.69652986526";"4.10076714125";"0";"1";"6";"dvnd";"95"
"735962";"150156";"-2";"1.62366580963";"4.90131596473";"0";"1";"6";"dvnd";"96"
"740724";"153206";"-2";"1.6814160347";"4.83482370142";"0";"1";"6";"dvnd";"97"
"836642";"196722";"-2";"1.64160513878";"4.25291528146";"0";"1";"6";"dvnd";"98"
"803923";"149024";"-2";"1.51151800156";"5.394587449";"0";"1";"6";"dvnd";"99"
"8359174";"1030827";"-2";"1.85432815552";"8.10919194006";"1";"1";"6";"dvnd";"0"
"7757173";"1010229";"-2";"1.96962785721";"7.67862831101";"1";"1";"6";"dvnd";"1"
"8240954";"1006255";"-2";"1.87653398514";"8.18972725601";"1";"1";"6";"dvnd";"10"
"7697469";"1081360";"-2";"1.87773609161";"7.11832229785";"1";"1";"6";"dvnd";"11"
"8839504";"1076385";"-2";"2.13733887672";"8.21221403122";"1";"1";"6";"dvnd";"12"
"8427985";"962331";"-2";"1.96301603317";"8.75788580021";"1";"1";"6";"dvnd";"13"
"7667910";"1033286";"-2";"1.99051809311";"7.42089798952";"1";"1";"6";"dvnd";"14"
"8673786";"1021640";"-2";"2.02163505554";"8.49006107827";"1";"1";"6";"dvnd";"15"
"7509716";"1008977";"-2";"1.89073514938";"7.44290107703";"1";"1";"6";"dvnd";"16"
"8336445";"1016209";"-2";"1.8307800293";"8.20347487574";"1";"1";"6";"dvnd";"17"
"8413440";"994082";"-2";"1.8653819561";"8.4635271537";"1";"1";"6";"dvnd";"18"
"9244709";"975402";"-2";"1.87243294716";"9.4778450321";"1";"1";"6";"dvnd";"19"
"8224238";"997565";"-2";"1.94820404053";"8.24431290192";"1";"1";"6";"dvnd";"2"
"8240949";"961728";"-2";"1.92674016953";"8.56889785885";"1";"1";"6";"dvnd";"20"
"7133406";"1018091";"-2";"1.81713008881";"7.00664871804";"1";"1";"6";"dvnd";"21"
"7030100";"995322";"-2";"1.93906593323";"7.06314137535";"1";"1";"6";"dvnd";"22"
"8127995";"1007456";"-2";"1.77603006363";"8.06784117619";"1";"1";"6";"dvnd";"23"
"8519514";"1003073";"-2";"1.83817696571";"8.49341373958";"1";"1";"6";"dvnd";"24"
"7838209";"1088114";"-2";"1.84225106239";"7.20348143669";"1";"1";"6";"dvnd";"25"
"8545859";"1029377";"-2";"1.98128986359";"8.30197196945";"1";"1";"6";"dvnd";"26"
"7804167";"997058";"-2";"1.83406090736";"7.82719460653";"1";"1";"6";"dvnd";"27"
"8360623";"1001177";"-2";"2.08056402206";"8.35079411533";"1";"1";"6";"dvnd";"28"
"8357183";"998923";"-2";"1.78117823601";"8.36619339028";"1";"1";"6";"dvnd";"29"
"8154844";"1058514";"-2";"1.80670309067";"7.70404926151";"1";"1";"6";"dvnd";"3"
"8039250";"1011854";"-2";"1.89111185074";"7.94506915029";"1";"1";"6";"dvnd";"30"
"8419723";"964949";"-2";"1.78981089592";"8.72556269813";"1";"1";"6";"dvnd";"31"
"7882645";"1015830";"-2";"1.80800080299";"7.75980725121";"1";"1";"6";"dvnd";"32"
"7350207";"1027306";"-2";"1.86817288399";"7.15483702032";"1";"1";"6";"dvnd";"33"
"8731522";"982366";"-2";"2.07660198212";"8.88825753334";"1";"1";"6";"dvnd";"34"
"6881596";"1106420";"-2";"1.74129700661";"6.21969595633";"1";"1";"6";"dvnd";"35"
"8027429";"975552";"-2";"2.03326106071";"8.22860185823";"1";"1";"6";"dvnd";"36"
"8250677";"1099935";"-2";"2.19464802742";"7.50105869892";"1";"1";"6";"dvnd";"37"
"8713006";"1040579";"-2";"1.85891509056";"8.37322875053";"1";"1";"6";"dvnd";"38"
"8228613";"995945";"-2";"1.9048640728";"8.26211587989";"1";"1";"6";"dvnd";"39"
"8522694";"1012566";"-2";"2.04202985764";"8.41692689662";"1";"1";"6";"dvnd";"4"
"7851719";"984488";"-2";"1.92699384689";"7.97543393114";"1";"1";"6";"dvnd";"40"
"7166119";"1027546";"-2";"1.9151699543";"6.97401284225";"1";"1";"6";"dvnd";"41"
"7563717";"989040";"-2";"1.83773112297";"7.64753397234";"1";"1";"6";"dvnd";"42"
"8267268";"971865";"-2";"1.8504447937";"8.50660122548";"1";"1";"6";"dvnd";"43"
"8225483";"1016258";"-2";"1.95774197578";"8.0938924958";"1";"1";"6";"dvnd";"44"
"9433930";"991559";"-2";"2.10188913345";"9.51423969728";"1";"1";"6";"dvnd";"45"
"8296344";"978842";"-2";"1.97140812874";"8.47567227397";"1";"1";"6";"dvnd";"46"
"7912526";"986740";"-2";"1.94314408302";"8.01885603097";"1";"1";"6";"dvnd";"47"
"6744592";"1005998";"-2";"1.86405706406";"6.70437913395";"1";"1";"6";"dvnd";"48"
"7803974";"1050562";"-2";"1.7990500927";"7.42838023839";"1";"1";"6";"dvnd";"49"
"7530964";"984466";"-2";"2.05828690529";"7.64979592998";"1";"1";"6";"dvnd";"5"
"8009863";"965693";"-2";"1.83022809029";"8.29441965511";"1";"1";"6";"dvnd";"50"
"8479079";"1010344";"-2";"2.08773803711";"8.39226936568";"1";"1";"6";"dvnd";"51"
"8056728";"1003636";"-2";"1.98304986954";"8.02753986505";"1";"1";"6";"dvnd";"52"
"7515258";"977453";"-2";"1.96153402328";"7.68861316094";"1";"1";"6";"dvnd";"53"
"7965028";"1002556";"-2";"1.89387178421";"7.94472129238";"1";"1";"6";"dvnd";"54"
"8366982";"985882";"-2";"1.88730287552";"8.48679862296";"1";"1";"6";"dvnd";"55"
"7803586";"997166";"-2";"2.110216856";"7.82576421579";"1";"1";"6";"dvnd";"56"
"8317675";"1039288";"-2";"1.90585279465";"8.00324356675";"1";"1";"6";"dvnd";"57"
"7436230";"1030951";"-2";"1.81957793236";"7.21298102432";"1";"1";"6";"dvnd";"58"
"8377471";"1064625";"-2";"1.71096301079";"7.86894070682";"1";"1";"6";"dvnd";"59"
"8436829";"958971";"-2";"1.84918498993";"8.79779367676";"1";"1";"6";"dvnd";"6"
"8024232";"1023928";"-2";"2.11207294464";"7.83671508153";"1";"1";"6";"dvnd";"60"
"7883117";"975186";"-2";"2.00549197197";"8.08370608274";"1";"1";"6";"dvnd";"61"
"7865031";"1047302";"-2";"1.80622696877";"7.50980233018";"1";"1";"6";"dvnd";"62"
"8466061";"1012837";"-2";"1.97311997414";"8.35875960298";"1";"1";"6";"dvnd";"63"
"8107245";"1040009";"-2";"1.95806193352";"7.79536042477";"1";"1";"6";"dvnd";"64"
"8008612";"1030052";"-2";"1.79079580307";"7.77495893411";"1";"1";"6";"dvnd";"65"
"8574514";"991405";"-2";"1.92684221268";"8.64885087326";"1";"1";"6";"dvnd";"66"
"7664254";"1045489";"-2";"1.75991201401";"7.33078396808";"1";"1";"6";"dvnd";"67"
"7662192";"1014719";"-2";"1.88485598564";"7.55104812268";"1";"1";"6";"dvnd";"68"
"8414858";"949730";"-2";"2.14380097389";"8.86026344329";"1";"1";"6";"dvnd";"69"
"7736197";"1002354";"-2";"1.75631093979";"7.7180287603";"1";"1";"6";"dvnd";"7"
"7822895";"1042415";"-2";"1.82182788849";"7.50458790405";"1";"1";"6";"dvnd";"70"
"8196093";"973152";"-2";"1.95302081108";"8.42221256289";"1";"1";"6";"dvnd";"71"
"8271676";"1028429";"-2";"1.83672404289";"8.04302095721";"1";"1";"6";"dvnd";"72"
"8294477";"946806";"-2";"2.00717806816";"8.76048208397";"1";"1";"6";"dvnd";"73"
"8542301";"971224";"-2";"2.08649992943";"8.79539735427";"1";"1";"6";"dvnd";"74"
"7838756";"990054";"-2";"1.96076583862";"7.91750348971";"1";"1";"6";"dvnd";"75"
"9009106";"1009725";"-2";"1.89116692543";"8.92233627968";"1";"1";"6";"dvnd";"76"
"7476343";"1001551";"-2";"1.83969688416";"7.46476514925";"1";"1";"6";"dvnd";"77"
"7803939";"1024031";"-2";"1.90167284012";"7.62080347177";"1";"1";"6";"dvnd";"78"
"7790595";"994846";"-2";"1.77900481224";"7.83095574591";"1";"1";"6";"dvnd";"79"
"7082058";"1007752";"-2";"1.9597671032";"7.0275801983";"1";"1";"6";"dvnd";"8"
"7954269";"1026940";"-2";"1.96548914909";"7.74560246947";"1";"1";"6";"dvnd";"80"
"8868473";"1023812";"-2";"1.76494002342";"8.6622084914";"1";"1";"6";"dvnd";"81"
"7984337";"965621";"-2";"1.98040890694";"8.26860331331";"1";"1";"6";"dvnd";"82"
"8225692";"992150";"-2";"1.8540520668";"8.29077458046";"1";"1";"6";"dvnd";"83"
"8456992";"1024922";"-2";"1.92271995544";"8.25135181019";"1";"1";"6";"dvnd";"84"
"8689539";"1015335";"-2";"2.10340809822";"8.55829750772";"1";"1";"6";"dvnd";"85"
"8222995";"973890";"-2";"2.06236720085";"8.44345357279";"1";"1";"6";"dvnd";"86"
"9036388";"990041";"-2";"2.00782084465";"9.12728664772";"1";"1";"6";"dvnd";"87"
"8654316";"984996";"-2";"1.85151219368";"8.78614329398";"1";"1";"6";"dvnd";"88"
"8460829";"1022544";"-2";"1.89260601997";"8.27429333114";"1";"1";"6";"dvnd";"89"
"7984584";"997878";"-2";"1.90684509277";"8.00156331736";"1";"1";"6";"dvnd";"9"
"8372941";"1003114";"-2";"2.06032896042";"8.34694860205";"1";"1";"6";"dvnd";"90"
"9118131";"1014720";"-2";"1.877161026";"8.98585915326";"1";"1";"6";"dvnd";"91"
"8385448";"1031769";"-2";"1.91721796989";"8.12725329022";"1";"1";"6";"dvnd";"92"
"7948490";"981366";"-2";"1.8944838047";"8.0994144896";"1";"1";"6";"dvnd";"93"
"7993550";"1000038";"-2";"1.82736992836";"7.99324625664";"1";"1";"6";"dvnd";"94"
"8433699";"1028054";"-2";"1.75631284714";"8.20355642797";"1";"1";"6";"dvnd";"95"
"7958410";"1027964";"-2";"1.92770910263";"7.74191508652";"1";"1";"6";"dvnd";"96"
"7969029";"1013326";"-2";"2.00413513184";"7.86423026746";"1";"1";"6";"dvnd";"97"
"7583957";"1052269";"-2";"2.04960298538";"7.2072416844";"1";"1";"6";"dvnd";"98"
"8212780";"971130";"-2";"1.84660816193";"8.45693161575";"1";"1";"6";"dvnd";"99"
"194988889";"7126369";"-2";"2.66749215126";"27.3616043458";"2";"1";"6";"dvnd";"0"
"194711779";"7581908";"-2";"2.39112687111";"25.6811054684";"2";"1";"6";"dvnd";"1"
"195023095";"6858941";"-2";"2.5164039135";"28.4334119509";"2";"1";"6";"dvnd";"10"
"179444392";"6632295";"-2";"2.81062602997";"27.0561535637";"2";"1";"6";"dvnd";"11"
"192434551";"7361675";"-2";"2.35353708267";"26.1400497849";"2";"1";"6";"dvnd";"12"
"186261478";"7168785";"-2";"2.61660504341";"25.9822937918";"2";"1";"6";"dvnd";"13"
"191208914";"7215751";"-2";"2.4466240406";"26.4988237538";"2";"1";"6";"dvnd";"14"
"191059097";"7691831";"-2";"2.50461912155";"24.8392218966";"2";"1";"6";"dvnd";"15"
"203860985";"7322096";"-2";"2.74641990662";"27.8418891257";"2";"1";"6";"dvnd";"16"
"196029150";"7453111";"-2";"2.5738401413";"26.3016544367";"2";"1";"6";"dvnd";"17"
"184305118";"7505859";"-2";"2.46048617363";"24.5548334974";"2";"1";"6";"dvnd";"18"
"184434714";"6768889";"-2";"2.85392689705";"27.2474129802";"2";"1";"6";"dvnd";"19"
"193976412";"6594603";"-2";"2.55065798759";"29.4144184267";"2";"1";"6";"dvnd";"2"
"194046165";"7556803";"-2";"2.79427599907";"25.6783410921";"2";"1";"6";"dvnd";"20"
"194803681";"7079468";"-2";"2.73148202896";"27.516711849";"2";"1";"6";"dvnd";"21"
"189150279";"7129193";"-2";"2.54439902306";"26.531793851";"2";"1";"6";"dvnd";"22"
"205675420";"7040925";"-2";"2.56681799889";"29.2114203745";"2";"1";"6";"dvnd";"23"
"189661360";"6857781";"-2";"2.39053606987";"27.656374562";"2";"1";"6";"dvnd";"24"
"193017673";"7500330";"-2";"2.43475604057";"25.7345574128";"2";"1";"6";"dvnd";"25"
"191719991";"7102755";"-2";"2.48918604851";"26.9923418448";"2";"1";"6";"dvnd";"26"
"190628401";"7545280";"-2";"2.71743512154";"25.2645893857";"2";"1";"6";"dvnd";"27"
"192037384";"7383806";"-2";"2.92309999466";"26.0079129923";"2";"1";"6";"dvnd";"28"
"199344894";"7302517";"-2";"2.29129910469";"27.2981074881";"2";"1";"6";"dvnd";"29"
"183320058";"6614670";"-2";"2.52669000626";"27.7141653325";"2";"1";"6";"dvnd";"3"
"195849313";"7806205";"-2";"2.60893893242";"25.0889277184";"2";"1";"6";"dvnd";"30"
"188519791";"7055883";"-2";"2.74683594704";"26.7181004844";"2";"1";"6";"dvnd";"31"
"186703843";"7338943";"-2";"2.85154914856";"25.4401543928";"2";"1";"6";"dvnd";"32"
"190871280";"6485210";"-2";"2.56647396088";"29.4317809292";"2";"1";"6";"dvnd";"33"
"191146542";"7766787";"-2";"2.99218511581";"24.6107614384";"2";"1";"6";"dvnd";"34"
"189867387";"7937016";"-2";"2.48914122581";"23.9217593867";"2";"1";"6";"dvnd";"35"
"189262024";"7028114";"-2";"2.66339898109";"26.9292763322";"2";"1";"6";"dvnd";"36"
"200394988";"6643531";"-2";"2.59179210663";"30.1639275861";"2";"1";"6";"dvnd";"37"
"189228992";"7242607";"-2";"2.48101091385";"26.1271931502";"2";"1";"6";"dvnd";"38"
"174568565";"7282286";"-2";"2.61090993881";"23.9716711209";"2";"1";"6";"dvnd";"39"
"191964558";"7410768";"-2";"2.51154398918";"25.9034634467";"2";"1";"6";"dvnd";"4"
"208163778";"7046487";"-2";"2.97435092926";"29.5414974866";"2";"1";"6";"dvnd";"40"
"179932376";"6901589";"-2";"2.61657309532";"26.0711520202";"2";"1";"6";"dvnd";"41"
"171164197";"7531033";"-2";"2.77165007591";"22.7278511461";"2";"1";"6";"dvnd";"42"
"190191866";"7281745";"-2";"2.702657938";"26.1189956528";"2";"1";"6";"dvnd";"43"
"183143705";"7651876";"-2";"2.53402805328";"23.9344841709";"2";"1";"6";"dvnd";"44"
"196682907";"7433383";"-2";"2.74998784065";"26.4594071098";"2";"1";"6";"dvnd";"45"
"197642140";"7026381";"-2";"2.49447607994";"28.1285828366";"2";"1";"6";"dvnd";"46"
"189008584";"7649559";"-2";"2.48882007599";"24.7084288127";"2";"1";"6";"dvnd";"47"
"176914234";"7448809";"-2";"2.39767217636";"23.7506739668";"2";"1";"6";"dvnd";"48"
"201253770";"6440141";"-2";"2.67015004158";"31.2499012056";"2";"1";"6";"dvnd";"49"
"190881843";"7084780";"-2";"2.68265509605";"26.9425222802";"2";"1";"6";"dvnd";"5"
"192701296";"7205317";"-2";"2.74442815781";"26.7443189522";"2";"1";"6";"dvnd";"50"
"196484139";"7229890";"-2";"2.46636891365";"27.1766429365";"2";"1";"6";"dvnd";"51"
"175515655";"7111617";"-2";"2.68561601639";"24.6801332243";"2";"1";"6";"dvnd";"52"
"193807111";"7322282";"-2";"2.61693286896";"26.4681298808";"2";"1";"6";"dvnd";"53"
"188748664";"7088626";"-2";"2.61232614517";"26.6269745364";"2";"1";"6";"dvnd";"54"
"192319544";"7032961";"-2";"2.53560090065";"27.3454586198";"2";"1";"6";"dvnd";"55"
"202187101";"7152962";"-2";"2.40175485611";"28.266206503";"2";"1";"6";"dvnd";"56"
"185798201";"6661298";"-2";"2.54148006439";"27.892191732";"2";"1";"6";"dvnd";"57"
"199485858";"6799975";"-2";"2.54418301582";"29.3362634421";"2";"1";"6";"dvnd";"58"
"187945987";"6710585";"-2";"2.63776397705";"28.007392351";"2";"1";"6";"dvnd";"59"
"193950796";"7506060";"-2";"2.43914914131";"25.8392280371";"2";"1";"6";"dvnd";"6"
"195892767";"7517437";"-2";"2.8467040062";"26.0584514376";"2";"1";"6";"dvnd";"60"
"191235757";"6972894";"-2";"2.77939009666";"27.4255935914";"2";"1";"6";"dvnd";"61"
"181810558";"7066526";"-2";"3.01082015038";"25.7284212922";"2";"1";"6";"dvnd";"62"
