"initial";"final";"count";"time";"imp";"inum";"n";"w";"solver";"sample"
"680166";"156365";"-2";"1.41542506218";"4.34986090238";"0";"1";"1";"rvnd";"0"
"803658";"142414";"-2";"1.66731905937";"5.64311093011";"0";"1";"1";"rvnd";"1"
"773147";"148220";"-2";"1.60583901405";"5.21621238699";"0";"1";"1";"rvnd";"10"
"678589";"144603";"-2";"1.33805394173";"4.69277262574";"0";"1";"1";"rvnd";"11"
"852143";"146973";"-2";"1.34608483315";"5.79795608717";"0";"1";"1";"rvnd";"12"
"828984";"144046";"-2";"1.59939694405";"5.75499493217";"0";"1";"1";"rvnd";"13"
"756653";"141691";"-2";"1.65143203735";"5.34016274852";"0";"1";"1";"rvnd";"14"
"780424";"157530";"-2";"1.5843129158";"4.95412937218";"0";"1";"1";"rvnd";"15"
"728377";"145601";"-2";"1.34068107605";"5.00255492751";"0";"1";"1";"rvnd";"16"
"831195";"161900";"-2";"1.4711689949";"5.13400247066";"0";"1";"1";"rvnd";"17"
"769729";"146167";"-2";"0.673675060272";"5.26609289374";"0";"1";"1";"rvnd";"18"
"799161";"153272";"-2";"1.5481300354";"5.21400516728";"0";"1";"1";"rvnd";"19"
"813097";"144259";"-2";"1.76984596252";"5.63636930798";"0";"1";"1";"rvnd";"2"
"833724";"149742";"-2";"1.56637597084";"5.56773650679";"0";"1";"1";"rvnd";"20"
"699630";"151229";"-2";"0.949589967728";"4.62629522115";"0";"1";"1";"rvnd";"21"
"828040";"145532";"-2";"0.94579911232";"5.68974521068";"0";"1";"1";"rvnd";"22"
"714589";"141283";"-2";"1.45896887779";"5.05785550986";"0";"1";"1";"rvnd";"23"
"789223";"143764";"-2";"1.25928401947";"5.48971230628";"0";"1";"1";"rvnd";"24"
"729647";"150217";"-2";"1.48143792152";"4.85728645892";"0";"1";"1";"rvnd";"25"
"754324";"147392";"-2";"1.62199091911";"5.11780829353";"0";"1";"1";"rvnd";"26"
"754645";"135437";"-2";"1.53610396385";"5.57192643074";"0";"1";"1";"rvnd";"27"
"868465";"137734";"-2";"1.2566280365";"6.30537848316";"0";"1";"1";"rvnd";"28"
"818368";"141712";"-2";"1.4864718914";"5.77486733657";"0";"1";"1";"rvnd";"29"
"846259";"145877";"-2";"1.56265807152";"5.80118181756";"0";"1";"1";"rvnd";"3"
"801193";"146689";"-2";"1.36103487015";"5.46184785499";"0";"1";"1";"rvnd";"30"
"697520";"185931";"-2";"1.44247078896";"3.75149921207";"0";"1";"1";"rvnd";"31"
"835314";"147488";"-2";"1.55224013329";"5.6636065307";"0";"1";"1";"rvnd";"32"
"825733";"211315";"-2";"1.58718085289";"3.90759292999";"0";"1";"1";"rvnd";"33"
"783932";"136477";"-2";"0.65917801857";"5.74405943859";"0";"1";"1";"rvnd";"34"
"816577";"146334";"-2";"1.44877696037";"5.58022742493";"0";"1";"1";"rvnd";"35"
"630780";"134108";"-2";"1.57876110077";"4.70352253408";"0";"1";"1";"rvnd";"36"
"765228";"142967";"-2";"0.840537071228";"5.35247994292";"0";"1";"1";"rvnd";"37"
"721262";"182738";"-2";"0.62823009491";"3.94697326227";"0";"1";"1";"rvnd";"38"
"771840";"150979";"-2";"1.50255298615";"5.11223415177";"0";"1";"1";"rvnd";"39"
"716414";"146712";"-2";"1.46962308884";"4.88313157751";"0";"1";"1";"rvnd";"4"
"786283";"143714";"-2";"1.34801793098";"5.47116495261";"0";"1";"1";"rvnd";"40"
"735660";"150245";"-2";"1.65395879745";"4.89640254251";"0";"1";"1";"rvnd";"41"
"766849";"164930";"-2";"1.15156817436";"4.64954223004";"0";"1";"1";"rvnd";"42"
"915431";"201872";"-2";"1.3631401062";"4.53471011334";"0";"1";"1";"rvnd";"43"
"736547";"154666";"-2";"1.30839109421";"4.76217785421";"0";"1";"1";"rvnd";"44"
"732537";"161078";"-2";"1.39169692993";"4.54771601336";"0";"1";"1";"rvnd";"45"
"670981";"139449";"-2";"1.49001383781";"4.81165874262";"0";"1";"1";"rvnd";"46"
"786194";"149514";"-2";"1.25853991508";"5.25833032358";"0";"1";"1";"rvnd";"47"
