"initial";"final";"count";"time";"imp";"inum";"n";"w";"solver";"sample"
"680166";"156319";"-2";"2.46994686127";"4.35114093616";"0";"4";"4";"dvnd";"0"
"803658";"155643";"-2";"2.51783013344";"5.16347024922";"0";"4";"4";"dvnd";"1"
"773147";"140452";"-2";"2.45917797089";"5.50470623416";"0";"4";"4";"dvnd";"10"
"678589";"137392";"-2";"2.56848883629";"4.93907214394";"0";"4";"4";"dvnd";"11"
"852143";"135079";"-2";"2.37332201004";"6.30847874207";"0";"4";"4";"dvnd";"12"
"828984";"139798";"-2";"2.53813004494";"5.92987024135";"0";"4";"4";"dvnd";"13"
"756653";"142012";"-2";"2.56836915016";"5.32809199223";"0";"4";"4";"dvnd";"14"
"780424";"150754";"-2";"2.55492186546";"5.17680459557";"0";"4";"4";"dvnd";"15"
"728377";"138829";"-2";"2.47487211227";"5.24657672388";"0";"4";"4";"dvnd";"16"
"831195";"155293";"-2";"2.49702596664";"5.35243056674";"0";"4";"4";"dvnd";"17"
"769729";"146047";"-2";"2.44294595718";"5.27041979637";"0";"4";"4";"dvnd";"18"
"799161";"151979";"-2";"2.37961316109";"5.25836464248";"0";"4";"4";"dvnd";"19"
"813097";"144165";"-2";"2.57283496857";"5.64004439358";"0";"4";"4";"dvnd";"2"
"833724";"140298";"-2";"2.50625610352";"5.94252234529";"0";"4";"4";"dvnd";"20"
"699630";"150848";"-2";"1.51751208305";"4.63797995333";"0";"4";"4";"dvnd";"21"
"828040";"134859";"-2";"2.31232714653";"6.14004256297";"0";"4";"4";"dvnd";"22"
"714589";"139617";"-2";"2.44026994705";"5.11820910061";"0";"4";"4";"dvnd";"23"
"789223";"138583";"-2";"2.46763801575";"5.69494815381";"0";"4";"4";"dvnd";"24"
"729647";"141405";"-2";"2.51287388802";"5.15998019872";"0";"4";"4";"dvnd";"25"
"754324";"141336";"-2";"2.49709010124";"5.33709741326";"0";"4";"4";"dvnd";"26"
"754645";"140235";"-2";"2.3309738636";"5.38128855136";"0";"4";"4";"dvnd";"27"
"868465";"138741";"-2";"2.5348200798";"6.25961323617";"0";"4";"4";"dvnd";"28"
"818368";"136591";"-2";"2.48812580109";"5.99137571289";"0";"4";"4";"dvnd";"29"
"846259";"140766";"-2";"2.47807812691";"6.01181393234";"0";"4";"4";"dvnd";"3"
"801193";"148260";"-2";"2.55911803246";"5.40397275057";"0";"4";"4";"dvnd";"30"
"697520";"138725";"-2";"2.38190102577";"5.02807713101";"0";"4";"4";"dvnd";"31"
"835314";"145735";"-2";"2.5279738903";"5.73173225375";"0";"4";"4";"dvnd";"32"
"825733";"147469";"-2";"2.51990294456";"5.59936664655";"0";"4";"4";"dvnd";"33"
"783932";"147746";"-2";"2.52810692787";"5.30594398495";"0";"4";"4";"dvnd";"34"
"816577";"146930";"-2";"2.41564106941";"5.55759205064";"0";"4";"4";"dvnd";"35"
"630780";"141231";"-2";"2.57353401184";"4.46629989167";"0";"4";"4";"dvnd";"36"
"765228";"153722";"-2";"2.45378899574";"4.97799924539";"0";"4";"4";"dvnd";"37"
"721262";"140376";"-2";"2.42946410179";"5.13807203511";"0";"4";"4";"dvnd";"38"
"771840";"148704";"-2";"2.52042889595";"5.19044544868";"0";"4";"4";"dvnd";"39"
"716414";"144185";"-2";"2.46007990837";"4.96871380518";"0";"4";"4";"dvnd";"4"
"786283";"162085";"-2";"2.46205091476";"4.8510534596";"0";"4";"4";"dvnd";"40"
"735660";"139005";"-2";"2.54426002502";"5.29232761411";"0";"4";"4";"dvnd";"41"
"766849";"140124";"-2";"2.56377410889";"5.4726456567";"0";"4";"4";"dvnd";"42"
"915431";"136904";"-2";"2.53956913948";"6.68666364752";"0";"4";"4";"dvnd";"43"
"736547";"145267";"-2";"2.48821210861";"5.07029814067";"0";"4";"4";"dvnd";"44"
"732537";"138996";"-2";"2.44046497345";"5.2702020202";"0";"4";"4";"dvnd";"45"
"670981";"140473";"-2";"2.46760320663";"4.77658340037";"0";"4";"4";"dvnd";"46"
"786194";"147443";"-2";"2.41725301743";"5.33218938844";"0";"4";"4";"dvnd";"47"
"791688";"134961";"-2";"2.43668293953";"5.86605019228";"0";"4";"4";"dvnd";"48"
"803842";"147279";"-2";"2.46867418289";"5.45795395134";"0";"4";"4";"dvnd";"49"
"801954";"139796";"-2";"2.49970006943";"5.73660190563";"0";"4";"4";"dvnd";"5"
"752926";"152957";"-2";"2.26419901848";"4.92246840615";"0";"4";"4";"dvnd";"50"
"707210";"146557";"-2";"2.83096885681";"4.82549451749";"0";"4";"4";"dvnd";"51"
"705667";"141558";"-2";"2.42839789391";"4.98500261377";"0";"4";"4";"dvnd";"52"
"650837";"140599";"-2";"2.54773187637";"4.62903007845";"0";"4";"4";"dvnd";"53"
"848143";"154500";"-2";"2.58118796349";"5.4895987055";"0";"4";"4";"dvnd";"54"
"830767";"143052";"-2";"2.52855587006";"5.80744764142";"0";"4";"4";"dvnd";"55"
"801326";"149798";"-2";"2.50292086601";"5.34937716124";"0";"4";"4";"dvnd";"56"
"735736";"148989";"-2";"2.48785400391";"4.93819006772";"0";"4";"4";"dvnd";"57"
"652747";"137143";"-2";"2.59294915199";"4.75960858374";"0";"4";"4";"dvnd";"58"
"876606";"140402";"-2";"2.47686505318";"6.24354353927";"0";"4";"4";"dvnd";"59"
"811400";"148460";"-2";"2.49079799652";"5.46544523777";"0";"4";"4";"dvnd";"6"
"756816";"144360";"-2";"2.56634497643";"5.242560266";"0";"4";"4";"dvnd";"60"
"753526";"145919";"-2";"2.49888896942";"5.16400194629";"0";"4";"4";"dvnd";"61"
"771491";"152952";"-2";"2.47235703468";"5.04400727025";"0";"4";"4";"dvnd";"62"
"726502";"146041";"-2";"2.39542222023";"4.97464410679";"0";"4";"4";"dvnd";"63"
"827276";"142346";"-2";"2.44897508621";"5.81172635691";"0";"4";"4";"dvnd";"64"
"835478";"143326";"-2";"2.48316788673";"5.82921451795";"0";"4";"4";"dvnd";"65"
"766856";"141055";"-2";"2.57459211349";"5.43657438588";"0";"4";"4";"dvnd";"66"
"834481";"140124";"-2";"2.59705090523";"5.95530387371";"0";"4";"4";"dvnd";"67"
"740857";"142518";"-2";"2.3203151226";"5.19833985882";"0";"4";"4";"dvnd";"68"
"677032";"142603";"-2";"2.42562007904";"4.74767010512";"0";"4";"4";"dvnd";"69"
"625586";"147761";"-2";"2.49553799629";"4.23376939788";"0";"4";"4";"dvnd";"7"
"750729";"159865";"-2";"2.25037288666";"4.69601851562";"0";"4";"4";"dvnd";"70"
"741540";"145101";"-2";"2.46289610863";"5.1105092315";"0";"4";"4";"dvnd";"71"
"813116";"144078";"-2";"2.47118282318";"5.64358194867";"0";"4";"4";"dvnd";"72"
"731115";"149476";"-2";"2.46991205215";"4.891186545";"0";"4";"4";"dvnd";"73"
"861367";"147449";"-2";"1.54675006866";"5.84179614646";"0";"4";"4";"dvnd";"74"
"772667";"138448";"-2";"2.52077007294";"5.58091846758";"0";"4";"4";"dvnd";"75"
"789056";"159246";"-2";"2.43405294418";"4.95495020283";"0";"4";"4";"dvnd";"76"
"726793";"150140";"-2";"2.45439291";"4.84076861596";"0";"4";"4";"dvnd";"77"
"863772";"146270";"-2";"2.39994597435";"5.90532576742";"0";"4";"4";"dvnd";"78"
"759563";"147019";"-2";"2.57871413231";"5.16642746856";"0";"4";"4";"dvnd";"79"
"860380";"137994";"-2";"2.65234804153";"6.23490876415";"0";"4";"4";"dvnd";"8"
"680887";"145753";"-2";"2.53061103821";"4.67151276475";"0";"4";"4";"dvnd";"80"
"768703";"145594";"-2";"2.34661602974";"5.27977114442";"0";"4";"4";"dvnd";"81"
"713408";"146002";"-2";"2.50077104568";"4.88628922891";"0";"4";"4";"dvnd";"82"
"784292";"137235";"-2";"2.31646990776";"5.71495609721";"0";"4";"4";"dvnd";"83"
"744773";"141495";"-2";"2.45057415962";"5.26359942047";"0";"4";"4";"dvnd";"84"
"825976";"143407";"-2";"2.50999212265";"5.75966305689";"0";"4";"4";"dvnd";"85"
"616405";"135927";"-2";"2.56337094307";"4.53482383927";"0";"4";"4";"dvnd";"86"
"726053";"139792";"-2";"2.41573119164";"5.19380937393";"0";"4";"4";"dvnd";"87"
"767140";"152127";"-2";"2.44340085983";"5.04276032525";"0";"4";"4";"dvnd";"88"
"854859";"146903";"-2";"2.40992617607";"5.81920723198";"0";"4";"4";"dvnd";"89"
"836539";"145436";"-2";"2.44410800934";"5.75193899722";"0";"4";"4";"dvnd";"9"
"704187";"150848";"-2";"2.44215393066";"4.66818917056";"0";"4";"4";"dvnd";"90"
"775562";"152318";"-2";"2.53511500359";"5.0917291456";"0";"4";"4";"dvnd";"91"
"664178";"151932";"-2";"2.45406699181";"4.3715477977";"0";"4";"4";"dvnd";"92"
"839024";"153566";"-2";"2.54558801651";"5.46360522511";"0";"4";"4";"dvnd";"93"
"824492";"147929";"-2";"2.51380300522";"5.57356569706";"0";"4";"4";"dvnd";"94"
"738216";"137511";"-2";"2.50187110901";"5.36841416323";"0";"4";"4";"dvnd";"95"
"735962";"148292";"-2";"2.62219214439";"4.96292450031";"0";"4";"4";"dvnd";"96"
"740724";"142089";"-2";"2.46290779114";"5.21309883242";"0";"4";"4";"dvnd";"97"
"836642";"133688";"-2";"2.4373319149";"6.2581682724";"0";"4";"4";"dvnd";"98"
"803923";"141626";"-2";"2.52816605568";"5.67638004321";"0";"4";"4";"dvnd";"99"
"8359174";"1064870";"-2";"2.68624901772";"7.84994788096";"1";"4";"4";"dvnd";"0"
"7757173";"1001339";"-2";"2.54051113129";"7.74680003475";"1";"4";"4";"dvnd";"1"
"8240954";"995762";"-2";"2.45770287514";"8.27602780584";"1";"4";"4";"dvnd";"10"
"7697469";"1010950";"-2";"2.55845379829";"7.61409466344";"1";"4";"4";"dvnd";"11"
"8839504";"1029671";"-2";"2.46507811546";"8.58478484875";"1";"4";"4";"dvnd";"12"
"8427985";"1021314";"-2";"2.50587511063";"8.25209974601";"1";"4";"4";"dvnd";"13"
"7667910";"1010265";"-2";"2.448595047";"7.58999866372";"1";"4";"4";"dvnd";"14"
"8673786";"1040881";"-2";"2.76104617119";"8.33311973223";"1";"4";"4";"dvnd";"15"
"7509716";"1050834";"-2";"2.56133008003";"7.14643416562";"1";"4";"4";"dvnd";"16"
"8336445";"1007441";"-2";"2.58677887917";"8.27487167983";"1";"4";"4";"dvnd";"17"
"8413440";"992983";"-2";"2.49670886993";"8.4728942993";"1";"4";"4";"dvnd";"18"
"9244709";"986527";"-2";"2.44339108467";"9.37096399794";"1";"4";"4";"dvnd";"19"
"8224238";"994081";"-2";"2.39450407028";"8.2732071129";"1";"4";"4";"dvnd";"2"
"8240949";"941135";"-2";"2.6707470417";"8.75639414112";"1";"4";"4";"dvnd";"20"
"7133406";"986819";"-2";"2.48541808128";"7.22868732767";"1";"4";"4";"dvnd";"21"
"7030100";"1020186";"-2";"2.51343393326";"6.89099830815";"1";"4";"4";"dvnd";"22"
"8127995";"1002524";"-2";"2.54356598854";"8.10753159027";"1";"4";"4";"dvnd";"23"
"8519514";"1018674";"-2";"2.53922009468";"8.36333704404";"1";"4";"4";"dvnd";"24"
"7838209";"1049097";"-2";"2.45503020287";"7.47138634464";"1";"4";"4";"dvnd";"25"
