"initial";"final";"count";"time";"imp";"inum";"n";"w";"solver";"sample"
"680166";"147694";"64";"2.70509004593";"4.60523785665";"0";"4";"6";"dvnd";"0"
"803658";"150927";"68";"2.84615397453";"5.32481265777";"0";"4";"6";"dvnd";"1"
"773147";"146114";"45";"2.60607719421";"5.29139575948";"0";"4";"6";"dvnd";"10"
"678589";"148359";"63";"2.87491798401";"4.5739658531";"0";"4";"6";"dvnd";"11"
"852143";"138397";"77";"2.68877792358";"6.15723606726";"0";"4";"6";"dvnd";"12"
"828984";"139702";"58";"2.79061603546";"5.93394511174";"0";"4";"6";"dvnd";"13"
"756653";"138499";"63";"2.69854712486";"5.46323800172";"0";"4";"6";"dvnd";"14"
"780424";"151151";"60";"2.81054806709";"5.16320765327";"0";"4";"6";"dvnd";"15"
"728377";"147561";"58";"2.77986001968";"4.93610777916";"0";"4";"6";"dvnd";"16"
"831195";"153066";"90";"2.87030911446";"5.4303045745";"0";"4";"6";"dvnd";"17"
"769729";"144811";"61";"2.46070098877";"5.31540421653";"0";"4";"6";"dvnd";"18"
"799161";"138474";"55";"2.91842198372";"5.77119892543";"0";"4";"6";"dvnd";"19"
"813097";"142897";"92";"2.875467062";"5.69009146448";"0";"4";"6";"dvnd";"2"
"833724";"151922";"66";"2.52374410629";"5.48784244547";"0";"4";"6";"dvnd";"20"
"699630";"152199";"76";"2.99096512794";"4.59681075434";"0";"4";"6";"dvnd";"21"
"828040";"143327";"60";"2.66902709007";"5.77727853091";"0";"4";"6";"dvnd";"22"
"714589";"145994";"52";"2.72796797752";"4.89464635533";"0";"4";"6";"dvnd";"23"
"789223";"151852";"69";"2.63919615746";"5.19731712457";"0";"4";"6";"dvnd";"24"
"729647";"152923";"44";"2.66948699951";"4.77133590107";"0";"4";"6";"dvnd";"25"
"754324";"138446";"41";"3.69548606873";"5.44850699912";"0";"4";"6";"dvnd";"26"
"754645";"144124";"64";"2.77320599556";"5.23608142988";"0";"4";"6";"dvnd";"27"
"868465";"149442";"94";"2.81394100189";"5.81138501894";"0";"4";"6";"dvnd";"28"
"818368";"139386";"80";"2.92059421539";"5.8712352747";"0";"4";"6";"dvnd";"29"
"846259";"139471";"59";"2.63957810402";"6.06763413183";"0";"4";"6";"dvnd";"3"
"801193";"145427";"72";"2.74770903587";"5.50924518831";"0";"4";"6";"dvnd";"30"
"697520";"138589";"62";"2.69923305511";"5.03301127795";"0";"4";"6";"dvnd";"31"
"835314";"141283";"70";"2.7421848774";"5.91234614214";"0";"4";"6";"dvnd";"32"
"825733";"143952";"62";"2.61891293526";"5.73616900078";"0";"4";"6";"dvnd";"33"
"783932";"142096";"74";"2.68654203415";"5.51691813985";"0";"4";"6";"dvnd";"34"
"816577";"142414";"70";"2.77735304832";"5.73382532616";"0";"4";"6";"dvnd";"35"
"630780";"142236";"58";"2.76950192451";"4.43474225934";"0";"4";"6";"dvnd";"36"
"765228";"145463";"67";"2.96571707726";"5.26063672549";"0";"4";"6";"dvnd";"37"
"721262";"147020";"69";"2.42994213104";"4.90587675146";"0";"4";"6";"dvnd";"38"
"771840";"147438";"53";"2.76408600807";"5.2350140398";"0";"4";"6";"dvnd";"39"
"716414";"167774";"70";"2.90758800507";"4.27011336679";"0";"4";"6";"dvnd";"4"
"786283";"148521";"54";"2.7917611599";"5.29408635816";"0";"4";"6";"dvnd";"40"
"735660";"141448";"63";"3.03054714203";"5.20092189356";"0";"4";"6";"dvnd";"41"
"766849";"140184";"86";"2.85867285728";"5.47030331564";"0";"4";"6";"dvnd";"42"
"915431";"143018";"56";"2.6865208149";"6.40080968829";"0";"4";"6";"dvnd";"43"
"736547";"144694";"51";"2.60523486137";"5.09037693339";"0";"4";"6";"dvnd";"44"
"732537";"144405";"69";"2.83945894241";"5.07279526332";"0";"4";"6";"dvnd";"45"
"670981";"140958";"62";"2.75541305542";"4.760148413";"0";"4";"6";"dvnd";"46"
"786194";"146940";"63";"2.6960170269";"5.35044235742";"0";"4";"6";"dvnd";"47"
"791688";"143321";"61";"2.87392306328";"5.52387996176";"0";"4";"6";"dvnd";"48"
"803842";"145172";"70";"2.75118494034";"5.53716970215";"0";"4";"6";"dvnd";"49"
"801954";"133912";"70";"2.87768793106";"5.98866419738";"0";"4";"6";"dvnd";"5"
"752926";"147520";"57";"3.77248191833";"5.10389099783";"0";"4";"6";"dvnd";"50"
"707210";"153377";"79";"2.81113386154";"4.61092601889";"0";"4";"6";"dvnd";"51"
"705667";"136632";"69";"2.83264994621";"5.1647271503";"0";"4";"6";"dvnd";"52"
"650837";"138905";"70";"4.02807998657";"4.68548288399";"0";"4";"6";"dvnd";"53"
"848143";"146593";"67";"2.87181401253";"5.78569918072";"0";"4";"6";"dvnd";"54"
"830767";"143026";"82";"4.01724386215";"5.80850334904";"0";"4";"6";"dvnd";"55"
"801326";"151670";"88";"2.9667069912";"5.28335201424";"0";"4";"6";"dvnd";"56"
"735736";"144978";"88";"2.9263420105";"5.07481135069";"0";"4";"6";"dvnd";"57"
"652747";"136672";"63";"2.66009402275";"4.77601118005";"0";"4";"6";"dvnd";"58"
"876606";"163369";"70";"3.78022098541";"5.36580379387";"0";"4";"6";"dvnd";"59"
"811400";"140497";"81";"2.98298692703";"5.77521228211";"0";"4";"6";"dvnd";"6"
"756816";"151243";"74";"3.98814702034";"5.00397373763";"0";"4";"6";"dvnd";"60"
"753526";"143518";"84";"2.8852789402";"5.25039367884";"0";"4";"6";"dvnd";"61"
"771491";"139150";"80";"2.8613910675";"5.54431189364";"0";"4";"6";"dvnd";"62"
"726502";"162361";"58";"2.52662110329";"4.4746090502";"0";"4";"6";"dvnd";"63"
"827276";"146682";"76";"2.70635414124";"5.63992855292";"0";"4";"6";"dvnd";"64"
"835478";"146303";"44";"2.66823601723";"5.71060060286";"0";"4";"6";"dvnd";"65"
"766856";"140054";"76";"2.82447195053";"5.47543090522";"0";"4";"6";"dvnd";"66"
"834481";"140124";"70";"2.52418684959";"5.95530387371";"0";"4";"6";"dvnd";"67"
"740857";"155987";"45";"2.65766596794";"4.74947912326";"0";"4";"6";"dvnd";"68"
"677032";"152456";"76";"3.68550395966";"4.44083538857";"0";"4";"6";"dvnd";"69"
"625586";"145346";"69";"2.86544203758";"4.30411569634";"0";"4";"6";"dvnd";"7"
"750729";"157245";"69";"3.82418107986";"4.77426309263";"0";"4";"6";"dvnd";"70"
"741540";"143779";"92";"3.88735103607";"5.15749866114";"0";"4";"6";"dvnd";"71"
"813116";"148469";"58";"2.76676797867";"5.47667189784";"0";"4";"6";"dvnd";"72"
"731115";"163583";"61";"2.89699792862";"4.4693825153";"0";"4";"6";"dvnd";"73"
"861367";"147453";"67";"2.71927499771";"5.84163767438";"0";"4";"6";"dvnd";"74"
"772667";"148722";"60";"3.69111704826";"5.1953779535";"0";"4";"6";"dvnd";"75"
"789056";"158204";"66";"3.72901201248";"4.98758564891";"0";"4";"6";"dvnd";"76"
"726793";"146513";"55";"2.71582388878";"4.96060417847";"0";"4";"6";"dvnd";"77"
"863772";"148388";"63";"3.73491001129";"5.82103674152";"0";"4";"6";"dvnd";"78"
"759563";"161094";"85";"3.93617987633";"4.71502973419";"0";"4";"6";"dvnd";"79"
"860380";"153872";"50";"2.77432799339";"5.59153062286";"0";"4";"6";"dvnd";"8"
"680887";"146875";"73";"2.935942173";"4.63582638298";"0";"4";"6";"dvnd";"80"
"768703";"144638";"105";"2.56686592102";"5.31466834442";"0";"4";"6";"dvnd";"81"
"713408";"148643";"60";"2.79687190056";"4.79947256178";"0";"4";"6";"dvnd";"82"
"784292";"144080";"60";"2.74751806259";"5.4434480844";"0";"4";"6";"dvnd";"83"
"744773";"137249";"63";"2.74516105652";"5.42643662249";"0";"4";"6";"dvnd";"84"
"825976";"148684";"64";"2.61452794075";"5.55524467999";"0";"4";"6";"dvnd";"85"
"616405";"137142";"49";"2.64831399918";"4.49464788322";"0";"4";"6";"dvnd";"86"
"726053";"146320";"109";"3.98017191887";"4.96208993986";"0";"4";"6";"dvnd";"87"
