initial	final	count	time	imp	inum	n	w	solver	sample
32848463	1974010	NA	4.96410393715	16.6404744657	4	1	6	dvnd	85
131678411	5545678	NA	12.4392819405	23.7443304498	7	1	6	dvnd	38
32273235	2011456	NA	5.19298410416	16.0447133817	4	1	6	dvnd	12
70596254	3436688	NA	8.87197494507	20.5419444535	6	1	6	dvnd	0
202012840	6783215	NA	2.49385809898	29.7812821796	2	1	6	dvnd	79
130182963	5541237	NA	12.9571390152	23.4934840361	7	1	6	dvnd	80
285148391	14475128	NA	6.2111749649	19.6991965114	5	1	6	dvnd	52
68906546	3413941	NA	7.29440498352	20.1838713674	6	1	6	dvnd	34
704187	159055	NA	1.63539004326	4.42731759454	0	1	6	dvnd	90
92877862	6166930	NA	3.29709601402	15.0606317892	3	1	6	dvnd	39
8713006	1040579	NA	1.85891509056	8.37322875053	1	1	6	dvnd	38
130233669	5532861	NA	12.8921401501	23.538214497	7	1	6	dvnd	49
133844334	5437127	NA	12.470649004	24.6167385827	7	1	6	dvnd	87
69789769	3416022	NA	8.25563502312	20.4301286701	6	1	6	dvnd	36
8212780	971130	NA	1.84660816193	8.45693161575	1	1	6	dvnd	99
616405	142366	NA	1.55279707909	4.32972057935	0	1	6	dvnd	86
192434551	7361675	NA	2.35353708267	26.1400497849	2	1	6	dvnd	12
71581912	3438893	NA	7.75742578506	20.815393791	6	1	6	dvnd	92
8056728	1003636	NA	1.98304986954	8.02753986505	1	1	6	dvnd	52
101167332	6122104	NA	3.28994297981	16.5249286846	3	1	6	dvnd	9
275781554	14470811	NA	6.16528582573	19.0577814885	5	1	6	dvnd	46
714589	145428	NA	1.59650611877	4.91369612454	0	1	6	dvnd	23
835478	149987	NA	1.55153298378	5.57033609579	0	1	6	dvnd	65
7667910	1033286	NA	1.99051809311	7.42089798952	1	1	6	dvnd	14
130245111	5596455	NA	11.5383470058	23.2727880417	7	1	6	dvnd	23
92045778	5946001	NA	3.29233288765	15.4802829667	3	1	6	dvnd	95
69163215	3430900	NA	8.47890806198	20.1589131132	6	1	6	dvnd	8
98454241	6062991	NA	3.13006806374	16.2385596482	3	1	6	dvnd	42
88821529	6296924	NA	3.3869099617	14.1055424839	3	1	6	dvnd	72
32851442	2013662	NA	4.87802600861	16.3142781658	4	1	6	dvnd	10
33405517	2013825	NA	4.78475308418	16.588093305	4	1	6	dvnd	62
7954269	1026940	NA	1.96548914909	7.74560246947	1	1	6	dvnd	80
766856	141015	NA	1.48678207397	5.43811651243	0	1	6	dvnd	66
131108239	5570537	NA	12.9566957951	23.5360143914	7	1	6	dvnd	70
70911438	3444748	NA	8.67649388313	20.585377508	6	1	6	dvnd	90
280083422	14191771	NA	6.43568515778	19.7356215796	5	1	6	dvnd	59
7838756	990054	NA	1.96076583862	7.91750348971	1	1	6	dvnd	75
33020115	1996778	NA	4.97368192673	16.5366981207	4	1	6	dvnd	64
7838209	1088114	NA	1.84225106239	7.20348143669	1	1	6	dvnd	25
680166	181013	NA	1.79417490959	3.7575533249	0	1	6	dvnd	0
277754734	14378164	NA	6.40527296066	19.3178165168	5	1	6	dvnd	34
33174275	1996732	NA	5.05212497711	16.6142852421	4	1	6	dvnd	69
196779712	7622770	NA	2.66419315338	25.8147250934	2	1	6	dvnd	65
32659202	2042201	NA	4.54429388046	15.9921584604	4	1	6	dvnd	46
756653	136878	NA	1.581387043	5.52793728722	0	1	6	dvnd	14
33465690	1967655	NA	4.96380090714	17.0079053493	4	1	6	dvnd	43
780424	150871	NA	1.50946521759	5.1727899994	0	1	6	dvnd	15
193807111	7322282	NA	2.61693286896	26.4681298808	2	1	6	dvnd	53
8542301	971224	NA	2.08649992943	8.79539735427	1	1	6	dvnd	74
32107696	2020642	NA	4.3099501133	15.8898488698	4	1	6	dvnd	58
67671684	3426083	NA	8.52874898911	19.7519102719	6	1	6	dvnd	53
130805795	5578793	NA	13.0413839817	23.4469705185	7	1	6	dvnd	64
286539082	14840242	NA	6.24612212181	19.3082486121	5	1	6	dvnd	25
33184260	2016632	NA	4.34047007561	16.4552878264	4	1	6	dvnd	90
191146542	7766787	NA	2.99218511581	24.6107614384	2	1	6	dvnd	34
32204602	1982826	NA	4.69507002831	16.241769071	4	1	6	dvnd	49
69794046	3463613	NA	9.02271819115	20.1506478928	6	1	6	dvnd	25
94260334	6092134	NA	3.31353783607	15.4724656418	3	1	6	dvnd	92
677032	162087	NA	1.5683221817	4.17696669073	0	1	6	dvnd	69
863772	138432	NA	1.60606884956	6.23968446602	0	1	6	dvnd	78
195892767	7517437	NA	2.8467040062	26.0584514376	2	1	6	dvnd	60
8360623	1001177	NA	2.08056402206	8.35079411533	1	1	6	dvnd	28
7509716	1008977	NA	1.89073514938	7.44290107703	1	1	6	dvnd	16
131035288	5597440	NA	11.6054191589	23.4098602218	7	1	6	dvnd	72
128522520	5599306	NA	12.9377670288	22.953294569	7	1	6	dvnd	93
289332929	14211813	NA	6.7340259552	20.358622014	5	1	6	dvnd	42
94832474	6387143	NA	3.37458515167	14.8474010994	3	1	6	dvnd	83
34066354	1998309	NA	5.28803920746	17.047590738	4	1	6	dvnd	7
69731371	3431401	NA	7.88714909554	20.3215453396	6	1	6	dvnd	70
71084849	3429454	NA	7.80177497864	20.7277452912	6	1	6	dvnd	72
72251736	3429932	NA	8.37341308594	21.0650636806	6	1	6	dvnd	51
70860671	3473727	NA	8.4718170166	20.3990327968	6	1	6	dvnd	82
70962656	3441144	NA	8.15652513504	20.6218211153	6	1	6	dvnd	69
32600223	1993509	NA	4.50444793701	16.3531857644	4	1	6	dvnd	18
71231036	3422242	NA	7.74542808533	20.8141434767	6	1	6	dvnd	28
8456992	1024922	NA	1.92271995544	8.25135181019	1	1	6	dvnd	84
8868473	1023812	NA	1.76494002342	8.6622084914	1	1	6	dvnd	81
276172025	14853185	NA	6.07747912407	18.5934548718	5	1	6	dvnd	53
69763364	3379929	NA	9.03595614433	20.640482093	6	1	6	dvnd	9
71882740	3437210	NA	9.07093310356	20.9131068512	6	1	6	dvnd	99
185652615	6777240	NA	2.37160491943	27.3935429467	2	1	6	dvnd	80
288701394	14355026	NA	6.13760590553	20.1115201045	5	1	6	dvnd	72
33438579	2028025	NA	4.61234617233	16.4882479259	4	1	6	dvnd	14
70909372	3434511	NA	8.37601900101	20.6461333215	6	1	6	dvnd	7
8385448	1031769	NA	1.91721796989	8.12725329022	1	1	6	dvnd	92
285956374	14311120	NA	6.41411495209	19.9814112383	5	1	6	dvnd	80
129828118	5645375	NA	13.174298048	22.9972531497	7	1	6	dvnd	45
277583591	14399680	NA	5.91743803024	19.2770666431	5	1	6	dvnd	27
773147	144099	NA	1.5611000061	5.36538768486	0	1	6	dvnd	10
93383683	6273263	NA	3.27517390251	14.8859824624	3	1	6	dvnd	90
193394445	8053821	NA	2.74496793747	24.012756802	2	1	6	dvnd	84
95832691	6144173	NA	3.38214206696	15.5973295348	3	1	6	dvnd	59
129926649	5615659	NA	12.4831261635	23.1364919059	7	1	6	dvnd	6
7984337	965621	NA	1.98040890694	8.26860331331	1	1	6	dvnd	82
128525236	5565592	NA	11.4220089912	23.092823908	7	1	6	dvnd	78
287301519	14698896	NA	6.21308994293	19.545788949	5	1	6	dvnd	63
678589	146169	NA	1.57600688934	4.64249601489	0	1	6	dvnd	11
33586635	2045257	NA	4.70072603226	16.4217186398	4	1	6	dvnd	63
276813554	14073022	NA	7.15497303009	19.6698018379	5	1	6	dvnd	45
32224083	1928743	NA	5.18029594421	16.7072974471	4	1	6	dvnd	56
196682907	7433383	NA	2.74998784065	26.4594071098	2	1	6	dvnd	45
275810015	14365227	NA	6.27219891548	19.19983687	5	1	6	dvnd	89
68684163	3403898	NA	8.24003887177	20.1780908241	6	1	6	dvnd	67
267690038	13947942	NA	5.87144112587	19.1920813838	5	1	6	dvnd	33
68349112	3411549	NA	8.43207406998	20.0346270858	6	1	6	dvnd	63
31914947	2014165	NA	4.47234511375	15.8452495203	4	1	6	dvnd	67
30994238	1944192	NA	5.18327116966	15.9419635509	4	1	6	dvnd	0
32086050	2014869	NA	5.70090198517	15.9246333136	4	1	6	dvnd	5
32530721	2064171	NA	4.40431904793	15.7597025634	4	1	6	dvnd	87
275290267	14064326	NA	6.54769921303	19.5736551471	5	1	6	dvnd	48
92531657	6024493	NA	3.20159387589	15.3592438401	3	1	6	dvnd	11
741540	153569	NA	1.67170000076	4.82870891912	0	1	6	dvnd	71
128748465	5736836	NA	13.2034068108	22.4424168653	7	1	6	dvnd	16
32944419	2025772	NA	4.44178199768	16.2626490049	4	1	6	dvnd	42
32083144	1975484	NA	4.6936519146	16.2406498863	4	1	6	dvnd	95
8224238	997565	NA	1.94820404053	8.24431290192	1	1	6	dvnd	2
282170376	14356386	NA	6.25627994537	19.6546941549	5	1	6	dvnd	82
740724	153206	NA	1.6814160347	4.83482370142	0	1	6	dvnd	97
290498220	14115154	NA	7.25606203079	20.580591611	5	1	6	dvnd	96
277445495	14583220	NA	6.26888990402	19.0249817941	5	1	6	dvnd	21
95733221	5970841	NA	3.4790790081	16.0334567609	3	1	6	dvnd	24
191719991	7102755	NA	2.48918604851	26.9923418448	2	1	6	dvnd	26
199056244	6425431	NA	2.67640709877	30.9794384221	2	1	6	dvnd	77
94680876	5857589	NA	3.58708286285	16.1637964016	3	1	6	dvnd	73
283104097	14379701	NA	6.14177203178	19.6877596412	5	1	6	dvnd	29
868465	142326	NA	1.66543912888	6.10194202043	0	1	6	dvnd	28
192037384	7383806	NA	2.92309999466	26.0079129923	2	1	6	dvnd	28
735962	150156	NA	1.62366580963	4.90131596473	0	1	6	dvnd	96
134231002	5510042	NA	14.2453742027	24.3611576826	7	1	6	dvnd	24
185866893	7390871	NA	2.43703007698	25.1481717107	2	1	6	dvnd	9
7476343	1001551	NA	1.83969688416	7.46476514925	1	1	6	dvnd	77
182382905	7199557	NA	2.5170211792	25.3325176813	2	1	6	dvnd	8
69151597	3420245	NA	8.90752100945	20.2183168165	6	1	6	dvnd	89
767140	150952	NA	1.49984288216	5.08201282527	0	1	6	dvnd	88
32567702	1999870	NA	4.81430387497	16.2849095191	4	1	6	dvnd	48
66853120	3428321	NA	8.0725209713	19.5002509975	6	1	6	dvnd	78
94323375	6246718	NA	3.10584378242	15.0996691383	3	1	6	dvnd	84
185007732	7503862	NA	2.59297990799	24.6550019177	2	1	6	dvnd	96
33355014	1974122	NA	5.02792596817	16.896125974	4	1	6	dvnd	57
8519514	1003073	NA	1.83817696571	8.49341373958	1	1	6	dvnd	24
72129109	3478819	NA	8.03130316734	20.7337918414	6	1	6	dvnd	5
131310048	5660607	NA	12.2325861454	23.1971673709	7	1	6	dvnd	42
72147310	3431127	NA	8.33157110214	21.0272921987	6	1	6	dvnd	48
287183619	14780409	NA	6.70242500305	19.4300184115	5	1	6	dvnd	35
130193616	5664888	NA	11.4589259624	22.9825578193	7	1	6	dvnd	89
95888633	6128438	NA	3.13524603844	15.6465045416	3	1	6	dvnd	30
191059097	7691831	NA	2.50461912155	24.8392218966	2	1	6	dvnd	15
