"initial";"final";"count";"time";"imp";"inum";"n";"w";"solver";"sample"
"7337668";"1005169";"134";"2.65181803703";"7.29993463786";"1";"4";"5";"dvnd";"40"
"70822672";"3434836";"856";"6.0182800293";"20.6189384297";"6";"4";"5";"dvnd";"92"
"33714488";"2029660";"647";"4.38374090195";"16.6109042894";"4";"4";"5";"dvnd";"6"
"129375983";"5669162";"1199";"8.52090501785";"22.8210065262";"7";"4";"5";"dvnd";"27"
"92123290";"5901282";"478";"3.56797385216";"15.6107249238";"3";"4";"5";"dvnd";"58"
"7367075";"1009806";"111";"2.70684909821";"7.29553498395";"1";"4";"5";"dvnd";"55"
"66705145";"3462703";"893";"5.75239300728";"19.2638944201";"6";"4";"5";"dvnd";"48"
"128461974";"5600377";"1177";"8.41968798637";"22.938093989";"7";"4";"5";"dvnd";"65"
"91586387";"6183232";"432";"3.50186991692";"14.8120573512";"3";"4";"5";"dvnd";"32"
"7863621";"973397";"169";"2.72551512718";"8.07853424656";"1";"4";"5";"dvnd";"33"
"93874372";"5938679";"335";"3.16547489166";"15.8072817204";"3";"4";"5";"dvnd";"38"
"794060";"148645";"59";"2.70104002953";"5.34198930337";"0";"4";"5";"dvnd";"62"
"68340938";"3459952";"866";"5.60406494141";"19.751990201";"6";"4";"5";"dvnd";"84"
"92695773";"5983637";"473";"3.50175094604";"15.4915435211";"3";"4";"5";"dvnd";"36"
"32986307";"2012019";"663";"4.51230502129";"16.3946299712";"4";"4";"5";"dvnd";"4"
"185892719";"6492513";"339";"2.90981292725";"28.6318593432";"2";"4";"5";"dvnd";"31"
"857593";"135507";"53";"2.48255109787";"6.32877268333";"0";"4";"5";"dvnd";"59"
"70193359";"3418741";"909";"5.78748512268";"20.5319323693";"6";"4";"5";"dvnd";"9"
"33108886";"2027654";"714";"4.56984114647";"16.3286665279";"4";"4";"5";"dvnd";"22"
"290493157";"14121068";"809";"5.06323814392";"20.571613776";"5";"4";"5";"dvnd";"46"
"709484";"144280";"36";"2.32568717003";"4.91741059052";"0";"4";"5";"dvnd";"76"
"196589367";"7337861";"258";"2.95712304115";"26.7910998859";"2";"4";"5";"dvnd";"5"
"8036076";"1009096";"112";"3.74370789528";"7.963638742";"1";"4";"5";"dvnd";"58"
"32634737";"2008239";"698";"4.38377785683";"16.2504248747";"4";"4";"5";"dvnd";"90"
"276123292";"14404107";"796";"6.1004049778";"19.1697612355";"5";"4";"5";"dvnd";"97"
"129279855";"5612827";"1178";"8.8991549015";"23.0329306426";"7";"4";"5";"dvnd";"69"
"33994087";"1947464";"627";"4.4510037899";"17.455566316";"4";"4";"5";"dvnd";"11"
"33581486";"2020332";"653";"5.25784897804";"16.6217661256";"4";"4";"5";"dvnd";"61"
"130509111";"5522816";"1272";"8.73951101303";"23.6308997077";"7";"4";"5";"dvnd";"3"
"99459131";"5897647";"459";"3.49264502525";"16.8642055043";"3";"4";"5";"dvnd";"15"
"273552039";"14150903";"921";"5.53205490112";"19.3310659397";"5";"4";"5";"dvnd";"28"
"69925198";"3445802";"1036";"6.48195385933";"20.2928659279";"6";"4";"5";"dvnd";"81"
"8070767";"1028097";"154";"2.8656539917";"7.8501999325";"1";"4";"5";"dvnd";"10"
"130674293";"5606955";"1221";"8.63269209862";"23.3057502691";"7";"4";"5";"dvnd";"79"
"90746991";"6095715";"412";"3.46500086784";"14.8870134184";"3";"4";"5";"dvnd";"41"
"67516361";"3460041";"1108";"6.89669919014";"19.5131679075";"6";"4";"5";"dvnd";"74"
"65987419";"3446736";"983";"6.29450106621";"19.1449008569";"6";"4";"5";"dvnd";"40"
"129608682";"5539065";"1358";"9.52820706367";"23.3990180653";"7";"4";"5";"dvnd";"85"
"8243380";"977197";"106";"2.64669299126";"8.4357401834";"1";"4";"5";"dvnd";"49"
"810322";"143809";"64";"2.51753520966";"5.63470992775";"0";"4";"5";"dvnd";"26"
"129863615";"5624254";"1316";"9.24795508385";"23.0899271263";"7";"4";"5";"dvnd";"82"
"289061300";"14318437";"810";"4.96037888527";"20.1880484581";"5";"4";"5";"dvnd";"96"
"32513924";"2032448";"619";"4.42529201508";"15.9974198602";"4";"4";"5";"dvnd";"58"
"8293272";"1026108";"140";"2.69933009148";"8.08226034686";"1";"4";"5";"dvnd";"22"
"71672793";"3406669";"1017";"6.30496406555";"21.0389659224";"6";"4";"5";"dvnd";"52"
"8306079";"993378";"100";"2.45022296906";"8.36144851205";"1";"4";"5";"dvnd";"29"
"94000442";"6234429";"515";"4.76625990868";"15.0776345356";"3";"4";"5";"dvnd";"62"
"708624";"136867";"51";"2.5320751667";"5.17746425362";"0";"4";"5";"dvnd";"22"
"276103069";"14500598";"768";"4.82389593124";"19.0408056964";"5";"4";"5";"dvnd";"88"
"856954";"140444";"61";"2.47733592987";"6.10174873971";"0";"4";"5";"dvnd";"50"
"136394535";"5657559";"1248";"8.76780104637";"24.1083716493";"7";"4";"5";"dvnd";"71"
"69439189";"3408093";"1109";"6.80178308487";"20.3747928827";"6";"4";"5";"dvnd";"2"
"277698844";"14173919";"798";"5.88248109818";"19.5922414965";"5";"4";"5";"dvnd";"3"
"73352385";"3441438";"947";"6.16348791122";"21.3144577935";"6";"4";"5";"dvnd";"11"
"126432165";"5604471";"1219";"8.46733379364";"22.5591612482";"7";"4";"5";"dvnd";"20"
"738660";"137598";"63";"2.57617592812";"5.36824663149";"0";"4";"5";"dvnd";"35"
"658905";"147441";"66";"2.5459561348";"4.46894011842";"0";"4";"5";"dvnd";"44"
"88616397";"6360662";"354";"3.34254217148";"13.9319456057";"3";"4";"5";"dvnd";"33"
"786064";"143265";"75";"2.64658522606";"5.48678323387";"0";"4";"5";"dvnd";"63"
"186799111";"7789774";"257";"3.05529093742";"23.9800424249";"2";"4";"5";"dvnd";"69"
"807536";"137349";"88";"2.67718410492";"5.87944579138";"0";"4";"5";"dvnd";"27"
"93923190";"6213883";"478";"3.64144182205";"15.1150560769";"3";"4";"5";"dvnd";"22"
"276083920";"14182209";"868";"5.20026397705";"19.4669194341";"5";"4";"5";"dvnd";"30"
"128817908";"5585510";"1315";"9.21212410927";"23.0628730411";"7";"4";"5";"dvnd";"84"
"273460028";"14692485";"899";"5.49283504486";"18.6122380251";"5";"4";"5";"dvnd";"86"
"96343978";"6087638";"453";"3.73873496056";"15.8261673904";"3";"4";"5";"dvnd";"86"
"33220606";"1997209";"696";"4.38145899773";"16.6335150703";"4";"4";"5";"dvnd";"37"
"278337832";"14391178";"823";"5.39048480988";"19.3408650772";"5";"4";"5";"dvnd";"43"
"8733850";"982575";"116";"2.52979588509";"8.88873622879";"1";"4";"5";"dvnd";"12"
"277895068";"14434232";"926";"5.42278695107";"19.2525011376";"5";"4";"5";"dvnd";"87"
"851804";"141991";"48";"2.71394085884";"5.99899993662";"0";"4";"5";"dvnd";"12"
"193313750";"7233157";"322";"3.22162699699";"26.7260547504";"2";"4";"5";"dvnd";"34"
"131365705";"5473150";"1263";"8.64532089233";"24.001846286";"7";"4";"5";"dvnd";"0"
"8213774";"1049734";"133";"2.61778593063";"7.82462414288";"1";"4";"5";"dvnd";"11"
"280169153";"14469923";"801";"4.99687790871";"19.3621730399";"5";"4";"5";"dvnd";"58"
"32873532";"2005844";"625";"4.18949103355";"16.3888776994";"4";"4";"5";"dvnd";"99"
"739310";"144492";"50";"2.61013007164";"5.11661545276";"0";"4";"5";"dvnd";"6"
"129894888";"5558007";"1191";"9.52059793472";"23.3707672552";"7";"4";"5";"dvnd";"34"
"87951897";"6155863";"479";"3.62761306763";"14.2875007127";"3";"4";"5";"dvnd";"20"
"284964745";"14539856";"844";"5.30617213249";"19.5988698237";"5";"4";"5";"dvnd";"18"
"33047281";"2020964";"605";"3.84083104134";"16.3522363585";"4";"4";"5";"dvnd";"79"
"90259510";"6278348";"430";"3.38331890106";"14.3763152345";"3";"4";"5";"dvnd";"80"
"92379144";"6042154";"446";"3.47385597229";"15.2891078248";"3";"4";"5";"dvnd";"25"
