"initial";"final";"count";"time";"imp";"inum";"n";"w";"solver";"sample"
"558778";"140771";"75";"2.54443001747";"3.96941131341";"0";"4";"4";"dvnd";"91"
"33439101";"1994910";"690";"4.01442503929";"16.7622103253";"4";"4";"4";"dvnd";"79"
"13437654";"7433490";"84";"2.40845012665";"1.80771804361";"2";"4";"4";"dvnd";"18"
"83873134";"14965097";"623";"3.9366941452";"5.60458338493";"5";"4";"4";"dvnd";"41"
"16801647";"6429419";"155";"2.65010690689";"2.6132449915";"3";"4";"4";"dvnd";"27"
"83873134";"15079056";"631";"4.39146995544";"5.56222710493";"5";"4";"4";"dvnd";"74"
"8670796";"993902";"128";"2.40277695656";"8.72399492103";"1";"4";"4";"dvnd";"80"
"83873134";"15439766";"601";"4.26928901672";"5.43228012653";"5";"4";"4";"dvnd";"70"
"33439101";"2072461";"598";"3.78222608566";"16.1349723831";"4";"4";"4";"dvnd";"96"
"83873134";"15184166";"547";"3.10342812538";"5.52372346298";"5";"4";"4";"dvnd";"78"
"28536548";"3453863";"691";"5.02778816223";"8.26221190592";"6";"4";"4";"dvnd";"82"
"16801647";"6392324";"288";"2.94699501991";"2.62840979275";"3";"4";"4";"dvnd";"59"
"13437654";"7409637";"101";"2.52342796326";"1.8135374243";"2";"4";"4";"dvnd";"2"
"134792339";"5583426";"1390";"9.21211600304";"24.1415107857";"7";"4";"4";"dvnd";"58"
"134792339";"5673296";"1296";"8.76493597031";"23.7590880152";"7";"4";"4";"dvnd";"95"
"16801647";"6415304";"237";"2.89086103439";"2.61899467274";"3";"4";"4";"dvnd";"70"
"83873134";"15350350";"522";"4.06926512718";"5.46392323302";"5";"4";"4";"dvnd";"31"
"13437654";"7195704";"72";"2.47589278221";"1.86745508153";"2";"4";"4";"dvnd";"85"
"83873134";"15219489";"469";"4.09903907776";"5.51090342126";"5";"4";"4";"dvnd";"40"
"33439101";"1976265";"778";"3.93643403053";"16.9203527867";"4";"4";"4";"dvnd";"90"
"13437654";"7189926";"98";"2.53769278526";"1.86895581401";"2";"4";"4";"dvnd";"84"
"33439101";"1956776";"689";"3.73157405853";"17.0888752724";"4";"4";"4";"dvnd";"95"
"83873134";"15123967";"554";"3.90960407257";"5.54570993179";"5";"4";"4";"dvnd";"28"
"134792339";"5547710";"1201";"8.29487299919";"24.296933149";"7";"4";"4";"dvnd";"55"
"13437654";"7140995";"103";"2.60948610306";"1.88176213539";"2";"4";"4";"dvnd";"38"
"13437654";"7433490";"94";"2.42829704285";"1.80771804361";"2";"4";"4";"dvnd";"15"
