"initial";"final";"count";"time";"imp";"inum";"n";"w";"solver";"sample"
"32309347";"1998218";"NA";"3.47051310539";"16.1690801504";"4";"1";"1";"rvnd_no_df";"93"
"7830945";"1003793";"NA";"1.29230594635";"7.80135446252";"1";"1";"1";"rvnd_no_df";"39"
"274833328";"14548855";"NA";"6.16193199158";"18.8903750845";"5";"1";"1";"rvnd_no_df";"1"
"33563336";"2028804";"NA";"3.66713905334";"16.5434098119";"4";"1";"1";"rvnd_no_df";"23"
"795146";"145816";"NA";"1.22956085205";"5.45307785154";"0";"1";"1";"rvnd_no_df";"30"
"132032693";"5605122";"NA";"20.0631129742";"23.5557215347";"7";"1";"1";"rvnd_no_df";"2"
"189354110";"7166545";"NA";"2.00768494606";"26.4219522797";"2";"1";"1";"rvnd_no_df";"56"
"126900595";"5623596";"NA";"18.8624880314";"22.565738186";"7";"1";"1";"rvnd_no_df";"89"
"128347907";"5628539";"NA";"20.9004318714";"22.8030590176";"7";"1";"1";"rvnd_no_df";"4"
"90203476";"6185883";"NA";"2.28188920021";"14.5821503575";"3";"1";"1";"rvnd_no_df";"31"
"272758998";"14645706";"NA";"6.61591792107";"18.623820388";"5";"1";"1";"rvnd_no_df";"42"
"92102857";"6014596";"NA";"2.28019213676";"15.3132241966";"3";"1";"1";"rvnd_no_df";"89"
"32404595";"2029375";"NA";"4.21983194351";"15.9677708654";"4";"1";"1";"rvnd_no_df";"79"
"291373817";"14450011";"NA";"7.41954016685";"20.1642626431";"5";"1";"1";"rvnd_no_df";"11"
"195013981";"6475450";"NA";"2.15477919579";"30.115896347";"2";"1";"1";"rvnd_no_df";"23"
"200782065";"7535505";"NA";"1.84194111824";"26.6448054908";"2";"1";"1";"rvnd_no_df";"74"
"130118212";"5571828";"NA";"19.2174620628";"23.3528766502";"7";"1";"1";"rvnd_no_df";"99"
"92308911";"6104816";"NA";"2.17599201202";"15.1206704674";"3";"1";"1";"rvnd_no_df";"20"
"277458767";"14417139";"NA";"6.74277806282";"19.2450642947";"5";"1";"1";"rvnd_no_df";"35"
"277042328";"14221154";"NA";"6.40572786331";"19.4810018934";"5";"1";"1";"rvnd_no_df";"46"
"71488311";"3379509";"NA";"9.45241999626";"21.1534607542";"6";"1";"1";"rvnd_no_df";"43"
"95222125";"6200290";"NA";"2.23669505119";"15.3576889146";"3";"1";"1";"rvnd_no_df";"65"
"131779243";"5588521";"NA";"20.1890659332";"23.5803431713";"7";"1";"1";"rvnd_no_df";"25"
"269316563";"14817355";"NA";"6.52571702003";"18.1757515427";"5";"1";"1";"rvnd_no_df";"2"
"277015440";"14077210";"NA";"6.86856389046";"19.678291366";"5";"1";"1";"rvnd_no_df";"15"
"6932559";"1031118";"NA";"1.24344491959";"6.72334204233";"1";"1";"1";"rvnd_no_df";"22"
"8546351";"1035388";"NA";"1.33740210533";"8.25424961464";"1";"1";"1";"rvnd_no_df";"29"
"131637624";"5545909";"NA";"19.0461621284";"23.7359870131";"7";"1";"1";"rvnd_no_df";"1"
"32638701";"2059771";"NA";"3.56595897675";"15.8457911098";"4";"1";"1";"rvnd_no_df";"39"
"727647";"160691";"NA";"1.19819402695";"4.52823742462";"0";"1";"1";"rvnd_no_df";"84"
"809125";"152876";"NA";"1.24975800514";"5.29268819174";"0";"1";"1";"rvnd_no_df";"70"
"71193278";"3343962";"NA";"11.3578059673";"21.2900977942";"6";"1";"1";"rvnd_no_df";"87"
"286919425";"14585699";"NA";"6.6197218895";"19.6712838377";"5";"1";"1";"rvnd_no_df";"21"
"277025990";"14404015";"NA";"6.27503299713";"19.2325535623";"5";"1";"1";"rvnd_no_df";"18"
"198934100";"7051302";"NA";"2.54644298553";"28.2123925482";"2";"1";"1";"rvnd_no_df";"27"
"701222";"141195";"NA";"1.20011305809";"4.96633733489";"0";"1";"1";"rvnd_no_df";"96"
"130615257";"5593571";"NA";"22.3815600872";"23.3509607726";"7";"1";"1";"rvnd_no_df";"94"
"8041753";"1019382";"NA";"1.34424185753";"7.88885128441";"1";"1";"1";"rvnd_no_df";"4"
"7839217";"986919";"NA";"1.43781495094";"7.94312096535";"1";"1";"1";"rvnd_no_df";"26"
"287407618";"14645138";"NA";"6.99638700485";"19.6247804561";"5";"1";"1";"rvnd_no_df";"72"
"32947869";"2007186";"NA";"3.91529607773";"16.4149555647";"4";"1";"1";"rvnd_no_df";"81"
"283182931";"14246896";"NA";"6.35913300514";"19.8768160447";"5";"1";"1";"rvnd_no_df";"89"
"131137151";"5711267";"NA";"21.75948596";"22.9611312166";"7";"1";"1";"rvnd_no_df";"84"
"33002392";"2007020";"NA";"3.89403605461";"16.4434793874";"4";"1";"1";"rvnd_no_df";"69"
"33919811";"2010713";"NA";"4.02165794373";"16.8695437887";"4";"1";"1";"rvnd_no_df";"5"
"129455132";"5607463";"NA";"20.9509940147";"23.0862213447";"7";"1";"1";"rvnd_no_df";"20"
"128837744";"5538779";"NA";"21.7079629898";"23.2610371347";"7";"1";"1";"rvnd_no_df";"72"
"196097833";"6930882";"NA";"2.12240004539";"28.2933446277";"2";"1";"1";"rvnd_no_df";"97"
"180136475";"7491688";"NA";"2.23162698746";"24.0448447666";"2";"1";"1";"rvnd_no_df";"46"
"130416291";"5632079";"NA";"23.4844269753";"23.1559768604";"7";"1";"1";"rvnd_no_df";"81"
"721524";"142585";"NA";"1.20902395248";"5.06030788652";"0";"1";"1";"rvnd_no_df";"78"
"290341907";"14527205";"NA";"6.59284210205";"19.9860817687";"5";"1";"1";"rvnd_no_df";"88"
"186476109";"6650445";"NA";"2.03430604935";"28.0396438133";"2";"1";"1";"rvnd_no_df";"63"
"93238729";"6147982";"NA";"2.26035881042";"15.1657452803";"3";"1";"1";"rvnd_no_df";"73"
"703063";"153883";"NA";"1.26274991035";"4.56881526874";"0";"1";"1";"rvnd_no_df";"98"
"68859306";"3393972";"NA";"9.0303580761";"20.2887077442";"6";"1";"1";"rvnd_no_df";"32"
"198926704";"6513487";"NA";"2.29908800125";"30.5407386243";"2";"1";"1";"rvnd_no_df";"65"
"189367196";"6576343";"NA";"1.95006084442";"28.7952127801";"2";"1";"1";"rvnd_no_df";"78"
"274866680";"14525266";"NA";"6.2220480442";"18.923349149";"5";"1";"1";"rvnd_no_df";"86"
"97344090";"6036581";"NA";"2.32045888901";"16.125699299";"3";"1";"1";"rvnd_no_df";"16"
"176262687";"6507805";"NA";"2.03523588181";"27.0848138504";"2";"1";"1";"rvnd_no_df";"36"
"822793";"142064";"NA";"1.22152304649";"5.79170655479";"0";"1";"1";"rvnd_no_df";"56"
"921745";"144929";"NA";"1.19872403145";"6.35997626424";"0";"1";"1";"rvnd_no_df";"82"
"132266728";"5580244";"NA";"20.8897149563";"23.7026782341";"7";"1";"1";"rvnd_no_df";"28"
"67375316";"3474079";"NA";"8.66248202324";"19.3937201773";"6";"1";"1";"rvnd_no_df";"80"
"8453502";"996565";"NA";"1.39968395233";"8.48263986795";"1";"1";"1";"rvnd_no_df";"42"
"199300948";"7144492";"NA";"2.12588715553";"27.8957479412";"2";"1";"1";"rvnd_no_df";"2"
"33493255";"1984562";"NA";"4.47240114212";"16.8769002934";"4";"1";"1";"rvnd_no_df";"94"
"759161";"141522";"NA";"1.28350806236";"5.36426138692";"0";"1";"1";"rvnd_no_df";"95"
"186539020";"7153435";"NA";"3.30192399025";"26.0768455994";"2";"1";"1";"rvnd_no_df";"11"
"71005165";"3404545";"NA";"9.39406299591";"20.8559925041";"6";"1";"1";"rvnd_no_df";"25"
"132443169";"5541514";"NA";"21.2265048027";"23.900177641";"7";"1";"1";"rvnd_no_df";"63"
"697808";"171215";"NA";"1.18613004684";"4.07562421517";"0";"1";"1";"rvnd_no_df";"44"
"626244";"138522";"NA";"1.22203683853";"4.52089920735";"0";"1";"1";"rvnd_no_df";"65"
"128428515";"5626476";"NA";"19.9496021271";"22.8257465241";"7";"1";"1";"rvnd_no_df";"22"
