"initial";"final";"count";"time";"imp";"inum";"n";"w";"type"
558778;141835;95;1.2533428669;3.939634081855677;0;1;1;"dvnd"
8670796;1013471;180;1.49814295769;8.55554426323003;1;1;1;"dvnd"
13437654;7193052;98;1.3395781517;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.46783399582;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.94985103607;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.31983709335;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.1959400177;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3627669811;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.25416493416;3.939634081855677;0;1;1;"dvnd"
8670796;1030139;161;1.41363501549;8.41711264208034;1;1;1;"dvnd"
13437654;7193052;98;1.35410094261;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.44723415375;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96394896507;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.33259415627;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.20461797714;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.385035038;23.931378199050787;7;1;1;"dvnd"
558778;148828;91;1.25566792488;3.75452199854866;0;1;1;"dvnd"
8670796;999543;198;1.5000231266;8.674760365487028;1;1;1;"dvnd"
13437654;7193052;98;1.33280992508;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.47514605522;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.94312405586;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.31324195862;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.21313595772;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3613679409;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.26228499413;3.939634081855677;0;1;1;"dvnd"
8670796;1030139;161;1.43466091156;8.41711264208034;1;1;1;"dvnd"
13437654;7193052;98;1.32541108131;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.43928599358;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95979690552;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.30990600586;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19611120224;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3648791313;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.25493311882;3.939634081855677;0;1;1;"dvnd"
8670796;1044743;179;1.48547101021;8.299453549820386;1;1;1;"dvnd"
13437654;7193052;98;1.33417105675;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.45870685577;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96942400932;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.33424186707;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19973111153;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.372688055;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.23975801468;3.939634081855677;0;1;1;"dvnd"
8670796;1005103;220;1.56545901299;8.626773574449583;1;1;1;"dvnd"
13437654;7193052;98;1.33007597923;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.49671292305;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95278310776;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.29040718079;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.18579983711;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3606960773;23.931378199050787;7;1;1;"dvnd"
558778;150146;78;1.21046280861;3.721564344038469;0;1;1;"dvnd"
8670796;1034332;172;1.45353221893;8.382991147909955;1;1;1;"dvnd"
13437654;7193052;98;1.3776140213;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.45875287056;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96252512932;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.31153202057;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.20969700813;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3786690235;23.931378199050787;7;1;1;"dvnd"
558778;139182;91;1.25350284576;4.014728916095472;0;1;1;"dvnd"
8670796;1005671;170;1.43255186081;8.621901198304416;1;1;1;"dvnd"
13437654;7193052;98;1.33740496635;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.47996306419;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95388293266;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.32455587387;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.21501684189;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3758981228;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.23079299927;3.939634081855677;0;1;1;"dvnd"
8670796;1034332;172;1.43035697937;8.382991147909955;1;1;1;"dvnd"
13437654;7193052;98;1.35142588615;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.49126887321;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.97885894775;16.426768000542335;4;1;1;"dvnd"
