in3initial;in6initial;in1initial;in5initial;in0initial;in7initial;in2initial;in4initial;in3final;in6final;in1final;in5final;in0final;in7final;in2final;in4final;in3time;in6time;in1time;in5time;in0time;in7time;in2time;in4time;in3count;in6count;in1count;in5count;in0count;in7count;in2count;in4count
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6263239;3404842;1064790;14961687;138463;5660174;7199400;1987237;1.78084993362;3.85619020462;1.57313013077;3.34374499321;1.44653606415;8.75246691704;1.47837400436;2.63589501381;307;669;198;734;104;1275;101;682
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6234591;3378843;1032788;15295439;183928;5545747;7192320;1992021;1.73805499077;3.74925899506;1.53584504128;3.04601192474;1.46848392487;9.02301287651;1.50060582161;2.8153719902;292;637;197;601;122;1321;115;785
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6171473;3439877;1035392;15298713;141194;5631636;7193052;2019654;1.78504180908;3.82663202286;1.5383169651;2.8835310936;1.41249704361;8.34296703339;1.48410987854;2.52952194214;323;659;185;555;71;1228;123;636
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6397015;3423383;1039252;15161484;142045;5623557;7193052;2039535;1.78106999397;4.3997900486;1.50736808777;2.94991898537;1.42177915573;8.59596705437;1.45919489861;2.56702804565;318;830;166;582;75;1233;78;656
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6381331;3495042;1009092;15100950;157331;5563585;7200240;1994348;1.7560479641;3.43823385239;1.50168585777;2.9741590023;1.43222999573;8.60064411163;1.43141698837;3.03416204453;309;555;159;582;82;1222;69;884
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6267738;3417554;1007724;15273626;140531;5559297;7193052;2048779;1.75256919861;4.34377098083;1.5171649456;2.88574790955;1.43008208275;8.98409581184;1.52301907539;2.54641699791;312;805;182;549;78;1313;135;646
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6132705;3388587;1020020;15149292;177844;5503069;7192320;1993809;1.82774806023;3.96035790443;1.54789018631;2.96453714371;1.44772791862;8.66726708412;1.45740604401;2.71063184738;336;699;172;574;88;1243;98;712
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6162079;3375381;976835;15242466;140220;5579028;7199400;2032388;1.86158490181;4.02277898788;1.56140804291;3.09298110008;1.45048189163;9.226364851;1.43560600281;2.58664298058;369;732;196;618;105;1342;73;666
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6066427;3429154;1051252;15129632;137463;5569142;7192320;2024192;1.8072719574;4.06878209114;1.52591109276;2.93274307251;1.45973491669;8.00859618187;1.46797895432;2.50817394257;334;709;176;565;107;1132;108;610
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6207362;3457475;1091558;14645450;141609;5621911;7193052;2002117;1.79456996918;4.00612711906;1.48987698555;3.29910612106;1.41487193108;9.01058006287;1.49286007881;2.70449304581;323;710;152;692;63;1313;80;738
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6059112;3464541;976910;15157418;149186;5664298;7193052;1972709;1.83590912819;4.07859301567;1.51689696312;3.12975788116;1.42472600937;8.84182810783;1.51959109306;2.69579696655;350;742;170;648;75;1296;118;736
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;5990358;3349999;1005784;15268622;143268;5683735;7192320;1978870;1.8411359787;4.12978196144;1.5987610817;3.08740401268;1.43756604195;8.14753699303;1.51310896873;2.62555599213;344;741;197;625;53;1182;124;665
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6152071;3416900;1006751;15136248;138616;5508462;7192320;2028377;1.7379360199;4.17823696136;1.54449295998;2.79350090027;1.42172908783;8.3451499939;1.44273805618;2.68036985397;281;775;203;530;88;1190;76;711
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;5853174;3438755;1012925;15195731;139087;5663221;7193052;2017926;1.83703112602;3.83052706718;1.46745586395;2.93141007423;1.39439296722;9.18153119087;1.51325702667;2.80947303772;352;674;130;568;48;1349;132;786
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6465122;3426203;1055147;15018320;152346;5585958;7193052;1999983;1.76992797852;3.65285587311;1.54533195496;3.16447901726;1.41666507721;7.96655392647;1.45159578323;2.77547001839;293;629;203;661;64;1158;79;739
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6104303;3410727;966986;15231593;142373;5631668;7200240;1946718;1.77548789978;4.36426615715;1.55472612381;3.02075004578;1.39593100548;8.42360901833;1.42214679718;2.71922206879;307;798;186;600;58;1233;61;728
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6132847;3394136;1036690;15290081;139087;5609196;7199400;1985298;1.78615999222;4.60022997856;1.51893305779;2.75596785545;1.41529297829;8.15774583817;1.48346614838;2.68630695343;311;866;170;508;79;1185;74;716
16801647;28536548;8670796;83873134;558778;134792339;13437654;33439101;6347748;3422533;1032119;15276147;139654;5625047;7193052;2008639;1.8754928112;4.15261101723;1.54295301437;2.87163805962;1.4493470192;8.47617602348;1.49058198929;2.82270002365;367;760;183;548;85;1222;128;776
