in4initial;in6initial;in5initial;in2initial;in3initial;in0initial;in1initial;in7initial;in4final;in6final;in5final;in2final;in3final;in0final;in1final;in7final;in4time;in6time;in5time;in2time;in3time;in0time;in1time;in7time;in4count;in6count;in5count;in2count;in3count;in0count;in1count;in7count;in4imp;in6imp;in5imp;in2imp;in3imp;in0imp;in1imp;in7imp
33439101;28536548;83873134;13437654;16801647;558778;8670796;134792339;1947993;3440953;15036364;7192320;6227501;142803;1040342;5474022;3.71247315407;4.51427984238;4.06831908226;2.34814620018;1.97252988815;2.368019104;2.39622497559;8.81749391556;661;637;534;105;242;73;133;1330;17.1659246209;8.29321063089;5.57801965954;1.86833372264;2.69797580121;3.91292900009;8.33456305715;24.624003886
33439101;28536548;83873134;13437654;16801647;558778;8670796;134792339;2000804;3356401;15269121;7201663;6436901;142803;1034433;5585852;4.27944087982;4.88524103165;4.14458012581;2.45600390434;2.58996009827;2.31996011734;2.33647894859;8.26256108284;690;698;577;101;194;37;116;1245;16.7128319416;8.50212712962;5.49299032996;1.86590985999;2.61020745853;3.91292900009;8.38217264917;24.1310258489
33439101;28536548;83873134;13437654;16801647;558778;8670796;134792339;1970356;3436458;15497619;7199400;6331160;139425;1003159;5675590;3.61809110641;4.58841300011;3.64511990547;2.3176651001;2.73030805588;2.46124696732;2.44146609306;8.32119107246;629;685;528;82;284;77;80;1236;16.9710960862;8.30405842295;5.41200128871;1.8664963747;2.65380230479;4.00773175542;8.64349121126;23.7494848994
33439101;28536548;83873134;13437654;16801647;558778;8670796;134792339;2000344;3490736;15393746;7199400;6223068;138092;1040549;5586379;4.04635119438;5.09347581863;3.71045422554;2.26947784424;2.6144361496;2.55028796196;2.46524000168;8.90049099922;646;693;497;59;223;79;141;1313;16.7166752319;8.17493731981;5.44852006782;1.8664963747;2.69989770319;4.04641832981;8.33290503379;24.1287494099
33439101;28536548;83873134;13437654;16801647;558778;8670796;134792339;2006814;3430752;15104730;7199400;6278921;144049;1001805;5507045;3.76080679893;4.43501806259;3.75724697113;2.43266510963;2.71624612808;2.45936203003;2.54466104507;8.21422696114;634;606;510;75;270;91;136;1245;16.6627804072;8.31786966822;5.55277280693;1.8664963747;2.67588125412;3.8790828121;8.65517341199;24.4763460259
33439101;28536548;83873134;13437654;16801647;558778;8670796;134792339;2007541;3448276;15131898;7414112;5967613;140220;1050608;5568599;3.40234684944;4.90852689743;3.66893005371;2.70952796936;3.20323801041;2.45077896118;2.2565100193;7.77772498131;518;714;476;107;369;65;79;1194;16.6567462383;8.27559858898;5.54280328879;1.81244281176;2.81547194833;3.98500927115;8.25312200174;24.2057901817
33439101;28536548;83873134;13437654;16801647;558778;8670796;134792339;1977768;3419557;15111439;7127440;6047800;155611;978536;5540023;3.61531591415;4.96810603142;3.96683096886;2.60198998451;2.83785796165;2.4366300106;1.66863584518;8.25895094872;564;754;576;141;306;69;212;1220;16.9074942056;8.34510084201;5.55030755178;1.88534087975;2.77814196898;3.59086439905;8.86098825184;24.3306461002
33439101;28536548;83873134;13437654;16801647;558778;8670796;134792339;2014795;3453439;15013407;7457978;6009819;142950;1024244;5580248;3.7702319622;4.7615339756;4.26274204254;2.53052210808;2.83956384659;2.6189250946;2.38572192192;7.57007002831;608;654;635;160;311;99;92;1100;16.5967758506;8.26322630862;5.58654900916;1.80178246704;2.79569933803;3.90890521161;8.46555703524;24.155259587
33439101;28536548;83873134;13437654;16801647;558778;8670796;134792339;1971482;3488479;15100709;7200972;5905421;139317;1013280;5582092;3.4417579174;4.44514513016;3.5759909153;2.54843711853;2.63952302933;2.56481480598;2.41205000877;8.792730093;520;595;510;73;255;87;91;1353;16.9614031475;8.18022639666;5.5542513931;1.86608891133;2.8451226424;4.01083859113;8.55715695563;24.1472800878
33439101;28536548;83873134;13437654;16801647;558778;8670796;134792339;2019336;3388963;15419998;7199400;6226733;147770;1030038;5555770;3.72622609138;4.66759586334;4.15932703018;1.64550685883;3.0100069046;2.27464008331;2.41368198395;7.8583791256;668;629;627;72;251;71;105;1130;16.5594537016;8.42043657603;5.43924415554;1.8664963747;2.69830856727;3.78140353252;8.41793797899;24.261684519
