in0initial;in6initial;in4initial;in3initial;in2initial;in5initial;in7initial;in1initial;in0final;in6final;in4final;in3final;in2final;in5final;in7final;in1final;in0time;in6time;in4time;in3time;in2time;in5time;in7time;in1time;in0count;in6count;in4count;in3count;in2count;in5count;in7count;in1count
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;139325;3430640;1969284;6112081;7200972;15140131;5738473;1070260;1.07438492775;8.58623695374;4.15362405777;2.03587412834;1.08599901199;3.48863816261;19.7032158375;1.1502840519;53;746;639;368;39;334;1120;109
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;143221;3452064;2048723;6277927;8125914;15082327;5489684;1040359;1.06843209267;6.89748382568;3.98822903633;1.79263710976;1.21459984779;4.56779789925;25.4117019176;1.10339093208;51;577;601;285;99;468;1481;74
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;139404;3473422;1960327;6504925;8116603;15770714;5554337;1041793;1.10292291641;8.95839905739;4.91717481613;1.38027405739;1.2359290123;3.78642106056;25.2640571594;1.18009090424;80;780;806;133;114;374;1463;106
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;149159;3471187;1991013;6224248;8122062;15457141;5478358;1010543;1.11499094963;8.21246004105;5.75780916214;1.88484311104;1.22993397713;4.19632601738;23.0250909328;1.19141507149;85;708;1011;317;107;429;1324;136
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;142931;3447658;1967472;6095008;8130626;15341440;5549318;1049744;1.05919313431;5.32372307777;4.11035895348;2.17816591263;1.38321185112;3.99026203156;22.6598939896;1.17596101761;56;426;636;421;171;400;1309;127
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;139087;3413650;1989300;6266881;8097528;15314626;5447943;1014533;1.03442597389;6.14410400391;4.25371694565;1.86489892006;1.39157295227;6.85186290741;23.7641038895;1.12661099434;35;508;667;302;183;800;1365;93
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;162319;3469578;1961579;6261986;8120355;15063199;5639009;1019381;1.11567902565;8.10996699333;3.24813699722;1.4991850853;1.16483783722;5.65039420128;19.4514610767;1.1531021595;89;712;468;179;74;611;1106;111
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;142101;3422890;1970941;6476750;7204608;15423494;5631115;1027824;1.07256197929;4.46745204926;6.42061805725;1.37701487541;1.20912098885;4.91485595703;22.5643389225;1.15355300903;60;344;1147;129;99;530;1298;112
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;143221;3524831;1983199;6503547;8123879;15289418;5542296;1027158;1.07966709137;5.93828296661;4.35461115837;1.46587705612;1.43374681473;3.47700810432;20.2741291523;1.16873812675;51;486;681;164;198;333;1149;122
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;147770;3417247;2020326;6199486;8122062;15103247;5637846;997647;1.07500314713;8.9855670929;3.89226293564;2.3350789547;1.36426091194;3.83768987656;23.1358017921;1.20091295242;60;830;588;471;163;379;1334;150
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;149159;3471187;1987558;6274072;8126123;15314115;5556503;1005332;1.09984493256;8.23646688461;4.12894392014;1.97148704529;1.45507001877;5.89950108528;22.8398580551;1.27303290367;86;708;639;344;203;666;1321;206
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;149159;3408564;1975326;6158829;8125914;15160694;5577712;1054346;1.11339306831;6.29519796371;4.08984017372;1.53467392921;1.16263890266;4.48604297638;27.5006890297;1.17819690704;85;523;630;191;71;464;1614;125
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;138296;3447637;1961579;6158829;8158122;15260367;5639009;1092665;1.05863380432;6.50904989243;3.2684879303;1.51412296295;1.22224593163;6.11199593544;19.2038500309;1.13341808319;41;546;468;183;101;697;1090;94
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;139087;3430640;1966339;5955670;8122338;15139350;5493012;991582;1.04299592972;8.59688901901;4.57257580757;2.35631418228;1.33262491226;4.43582010269;18.9703481197;1.14395594597;35;746;737;473;153;459;1106;113
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;138107;3452064;1973658;6132498;8095981;15139300;5504426;1069962;1.10160589218;6.64164209366;3.63318800926;2.14579701424;1.2003800869;6.70291495323;43.0531208515;1.10338306427;70;554;549;408;97;767;2691;71
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;141194;3422890;1978737;6262060;7204608;15134426;5595461;1043024;1.06266903877;4.30085682869;3.7175989151;1.93184900284;1.2183611393;4.05806398392;18.6680309772;1.31933808327;48;330;554;330;99;407;1053;236
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;149159;3430640;1962915;6456265;7204608;15604368;5655580;1040359;1.06633520126;8.57382297516;3.14187908173;1.54674196243;1.21753311157;4.0429649353;21.2822649479;1.10019803047;60;746;433;195;99;408;1216;73
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;143221;3437701;1964033;6375957;8122062;15314626;5644599;1019760;1.07423210144;8.84253382683;3.68299007416;1.60464000702;1.24121403694;6.87015104294;20.3302609921;1.29863786697;61;764;556;211;110;800;1176;226
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;157947;3437060;1969284;6375957;8120355;15112259;5772490;1021219;1.05978608131;6.19478297234;4.16261816025;1.59401702881;1.17369890213;4.26206493378;22.5798940659;1.1448469162;54;513;639;211;78;434;1391;111
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;149159;3407583;2011394;6125224;8130626;15314115;5508970;1054896;1.07268691063;10.0008089542;4.2194890976;1.54027199745;1.38779592514;5.91459012032;17.08385396;1.16958785057;60;891;652;191;171;666;996;122
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;138107;3431615;1967439;6327091;8119679;15111672;5472396;1048214;1.0899708271;8.46765518188;4.72345399857;1.98588609695;1.46600389481;3.94810009003;17.3707330227;1.16937088966;68;741;759;352;216;392;1017;116
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;147192;3397437;2049752;6125224;8122062;14861412;5504426;1026311;1.07608389854;11.0532138348;4.10298514366;1.5467209816;1.22133016586;6.69637680054;42.9370989799;1.26196098328;64;978;630;193;104;779;2691;189
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;149159;3396026;1953796;6104801;8119679;15082327;5522142;1082061;1.10613894463;11.8480250835;3.84011316299;1.83605098724;1.41516304016;4.48559188843;46.5567481518;1.20849299431;76;1097;592;300;191;468;2925;145
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;144969;3396026;1969830;6262276;7199400;15171759;5608112;1019199;1.08177518845;11.8275589943;6.3837351799;1.68414783478;1.11028814316;4.51135206223;23.6205899715;1.29045581818;58;1097;1137;239;50;473;1358;210
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;149159;3547138;2004882;6125164;8130626;15457141;5690637;1053765;1.07779192924;5.68306994438;3.99147486687;1.60799884796;1.36735987663;4.19942998886;23.5968840122;1.26938486099;62;460;636;218;171;429;1351;203
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;161471;3438167;2017592;6107671;8163613;15590915;5506875;1089100;1.04216694832;7.13678002357;4.02498006821;1.73983001709;1.19856214523;3.95613718033;18.4906890392;1.23551106453;41;632;613;261;89;397;1074;165
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;139087;3491092;2027795;6257601;7200972;15111672;5510390;1020759;1.0506799221;8.98159313202;4.02084803581;1.79608106613;1.11041498184;3.92460894585;14.8911099434;1.11895799637;35;818;611;281;49;392;853;85
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;142712;3420695;1962010;6158829;8126123;15938696;5738471;1009748;1.07650709152;9.08742904663;3.23583102226;1.53903412819;1.40778207779;3.7305328846;19.4987170696;1.1513299942;66;803;453;191;184;366;1111;110
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;139425;3452064;2026867;6469896;8158122;15301478;5516739;1010126;1.10300183296;6.7114880085;3.65073394775;1.44400787354;1.21557688713;4.4726691246;16.507848978;1.18168592453;79;561;536;157;98;467;948;128
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;135686;3422890;2045308;6023871;8158122;15106594;5502907;1006270;1.11342000961;4.44007301331;6.50428986549;2.12175798416;1.2251329422;6.41556501389;14.9519608021;1.19803285599;89;344;1170;395;101;724;853;140
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;149544;3420435;2002987;6125224;8130626;15103247;5577133;1122057;1.08301401138;7.20939493179;4.01510500908;1.54487514496;1.3645529747;3.94279003143;38.412307024;1.18098497391;66;623;615;191;171;395;2408;128
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;141955;3477490;1968908;6158829;8126123;15155162;5631115;1091447;1.07135510445;8.96052312851;4.24423694611;1.51801490784;1.41705012321;6.20204997063;22.5911111832;1.18885207176;50;823;659;183;195;695;1298;139
558778;28536548;33439101;16801647;13437654;83873134;134792339;8670796;173137;3442319;1983199;5898919;8122338;15457141;5577133;1047972;1.12142777443;5.2909090519;4.3498840332;2.20699906349;1.34187579155;4.19318509102;38.3932681084;1.25983309746;95;431;681;426;156;429;2408;182
