in7initial;in0initial;in1initial;in6initial;in4initial;in2initial;in5initial;in3initial;in7final;in0final;in1final;in6final;in4final;in2final;in5final;in3final;in7time;in0time;in1time;in6time;in4time;in2time;in5time;in3time;in7count;in0count;in1count;in6count;in4count;in2count;in5count;in3count
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5582817;142045;1003819;3405845;1993857;7411494;15441279;6153724;8.77402901649;1.76409101486;1.87026000023;4.23670601845;3.03696489334;1.77349591255;3.13759279251;2.10759496689;1226;97;188;710;720;105;518;334
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5505850;148772;1033910;3418124;2025489;7419751;15424805;6083004;8.81269693375;1.74268007278;1.83168101311;4.28941202164;2.9742770195;1.79139995575;3.11304497719;2.06031179428;1235;75;180;707;678;124;528;304
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5605913;145802;1126581;3399622;1988212;7200972;14830651;6287687;8.93226099014;1.74328303337;1.7798511982;4.3640499115;3.14932513237;1.79131507874;3.40329504013;2.08020687103;1226;76;145;735;775;83;620;294
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5605520;138200;1061488;3399280;2029543;7196980;15297683;6348159;9.01431393623;1.70786714554;1.83704900742;4.43174695969;3.04258799553;1.8134739399;3.31886100769;2.09151005745;1279;56;202;710;716;144;581;321
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5589601;140378;1025048;3372643;2025005;7200240;15323772;6295168;9.22652292252;1.69226002693;1.82221603394;4.19164991379;2.94221186638;1.72394800186;3.26661014557;2.06221985817;1300;47;141;689;666;78;577;303
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5583269;141187;979420;3397767;2027675;7424915;15175757;6218803;9.15822696686;1.72850012779;1.84739494324;4.07727599144;3.02120494843;1.78612399101;3.30822300911;2.06865811348;1300;63;186;652;697;120;576;286
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5572150;150014;1005692;3430172;2038352;7423809;15123129;6229173;8.41230487823;1.72709393501;1.85223293304;4.20047593117;3.19568419456;1.8075158596;3.39721703529;2.109115839;1156;75;207;689;781;124;618;333
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5676918;163376;989897;3384980;2029436;7158207;15024394;6370575;8.11115884781;1.72598195076;1.83731102943;4.03494215012;3.0367269516;1.79556488991;3.42492389679;2.11258506775;1112;59;172;644;710;133;613;297
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5515949;141615;997816;3446253;2000594;7135010;15028426;6182532;9.52708315849;1.7511279583;1.81548118591;4.20250296593;3.03277301788;1.82029891014;3.50151205063;2.08749580383;1377;92;178;681;715;135;627;309
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5579568;139087;1008076;3402538;1993086;7209783;15009336;6096421;8.9836640358;1.72132205963;1.84064292908;4.08238720894;2.9384829998;1.76388192177;3.18343687057;2.12972402573;1261;49;195;653;649;90;547;330
134792339;558778;8670796;28536548;33439101;13437654;83873134;16801647;5596176;147017;1027949;3431299;2027884;7199400;14909956;6214680;8.70727396011;1.72454786301;1.76570510864;4.3394138813;2.79881310463;1.82631087303;3.38697195053;2.08161592484;1230;90;130;729;604;88;625;291
