file_name;solver;size;initial_value;final_value;elapsed_time;imp_value;instance_num;num_workers
dvnd_n4w4in20_85.out;dvnd;150;20304704;1805351;3.6200158596;11.246956409;20;4
dvnd_n4w4in12_87.out;dvnd;101;111303;27129;3.0313949585;4.10273139445;12;4
dvnd_n4w4in21_24.out;dvnd;150;21691706;1892756;3.58201003075;11.4603815811;21;4
dvnd_n4w4in8_0.out;dvnd;100;8993202;962224;3.1170361042;9.34626656579;8;4
dvnd_n4w4in36_21.out;dvnd;400;42523653;2907087;8.28092098236;14.6275818371;36;4
dvnd_n4w4in23_25.out;dvnd;159;3443982;2979270;1.49132990837;1.15598183448;23;4
dvnd_n4w4in14_40.out;dvnd;107;2783881;2016761;1.92009210587;1.38037229002;14;4
dvnd_n4w4in19_18.out;dvnd;150;3868030;471926;4.06631088257;8.19626382102;19;4
dvnd_n4w4in2_15.out;dvnd;70;112766;19908;2.31576681137;5.66435603777;2;4
dvnd_n4w4in21_95.out;dvnd;150;21691706;1876901;4.45346999168;11.5571924145;21;4
dvnd_n4w4in43_9.out;dvnd;575;3518591;1907359;5.60420799255;1.8447450113;43;4
dvnd_n4w4in39_3.out;dvnd;442;38630868;10505227;5.836632967;3.67729969091;39;4
dvnd_n4w4in9_6.out;dvnd;100;9661842;973239;3.04046607018;9.92751215272;9;4
dvnd_n4w4in19_47.out;dvnd;150;3868030;466028;3.92637014389;8.29999485009;19;4
dvnd_n4w4in12_59.out;dvnd;101;111303;26316;2.62333297729;4.22948016416;12;4
dvnd_n4w4in14_59.out;dvnd;107;2783881;2006356;1.19377207756;1.38753092671;14;4
dvnd_n4w4in35_21.out;dvnd;318;16801647;5917792;5.43492984772;2.83917498283;35;4
dvnd_n4w4in12_40.out;dvnd;101;111303;26700;2.58396792412;4.16865168539;12;4
dvnd_n4w4in21_74.out;dvnd;150;21691706;1890222;3.34059095383;11.475745177;21;4
dvnd_n4w4in4_72.out;dvnd;76;4247736;3389696;1.06943893433;1.25313184427;4;4
dvnd_n4w4in18_73.out;dvnd;144;6292213;3829833;1.92610192299;1.64294709456;18;4
dvnd_n4w4in8_52.out;dvnd;100;8993202;969099;2.56979584694;9.27996210913;8;4
dvnd_n4w4in8_84.out;dvnd;100;8993202;962224;2.5239470005;9.34626656579;8;4
dvnd_n4w4in13_47.out;dvnd;105;1633632;591867;2.25019001961;2.7601336111;13;4
dvnd_n4w4in12_63.out;dvnd;101;111303;27446;2.58694195747;4.05534504117;12;4
dvnd_n4w4in6_66.out;dvnd;100;8670796;992891;2.41969203949;8.73287802991;6;4
dvnd_n4w4in33_2.out;dvnd;280;392877;350596;2.90267086029;1.12059749683;33;4
dvnd_n4w4in18_26.out;dvnd;144;6292213;3788171;1.22371602058;1.66101609457;18;4
dvnd_n4w4in22_27.out;dvnd;152;12011325;5061388;1.45235204697;2.37312867538;22;4
dvnd_n4w4in19_97.out;dvnd;150;3868030;456767;4.1363298893;8.46827813743;19;4
dvnd_n4w4in40_16.out;dvnd;493;28640835;7198271;5.84871578217;3.97884922643;40;4
dvnd_n4w4in44_27.out;dvnd;654;29051701;7821871;6.0083360672;3.71416263449;44;4
dvnd_n4w4in19_12.out;dvnd;150;3868030;460407;4.32884693146;8.40132752108;19;4
dvnd_n4w4in28_0.out;dvnd;225;26142000;13388462;2.39140892029;1.95257677842;28;4
dvnd_n4w4in15_70.out;dvnd;124;5587613;3411012;1.58864378929;1.6381100389;15;4
dvnd_n4w4in1_4.out;dvnd;52;558778;143354;1.89089083672;3.89788914157;1;4
dvnd_n4w4in8_64.out;dvnd;100;8993202;952930;3.00339198112;9.43742142655;8;4
dvnd_n4w4in20_96.out;dvnd;150;20304704;1837156;4.43739104271;11.0522481488;20;4
dvnd_n4w4in24_27.out;dvnd;195;355421;216535;1.34145784378;1.6414020828;24;4
dvnd_n4w4in5_60.out;dvnd;99;92473;56938;2.24370908737;1.62409989813;5;4
dvnd_n4w4in6_23.out;dvnd;100;8670796;995337;3.03874897957;8.71141733905;6;4
dvnd_n4w4in19_64.out;dvnd;150;3868030;461962;3.93526697159;8.37304799962;19;4
dvnd_n4w4in15_93.out;dvnd;124;5587613;3431197;1.20158195496;1.62847338698;15;4
dvnd_n4w4in30_22.out;dvnd;226;13437654;7193640;1.95930695534;1.86799089195;30;4
dvnd_n4w4in1_65.out;dvnd;52;558778;140220;2.12844896317;3.98500927115;1;4
dvnd_n4w4in19_25.out;dvnd;150;3868030;465198;3.61404490471;8.31480358901;19;4
dvnd_n4w4in9_67.out;dvnd;100;9661842;973239;3.38455200195;9.92751215272;9;4
dvnd_n4w4in20_66.out;dvnd;150;20304704;1798726;4.10672688484;11.2883807762;20;4
dvnd_n4w4in38_14.out;dvnd;439;39111669;18398445;2.70981502533;2.12581383916;38;4
dvnd_n4w4in38_5.out;dvnd;439;39111669;18749137;4.53166007996;2.08605169401;38;4
dvnd_n4w4in9_27.out;dvnd;100;9661842;977934;2.86477804184;9.87985078748;9;4
dvnd_n4w4in13_36.out;dvnd;105;1633632;603678;2.1602268219;2.70613141443;13;4
dvnd_n4w4in18_23.out;dvnd;144;6292213;3829458;1.15442299843;1.64310798029;18;4
dvnd_n4w4in8_26.out;dvnd;100;8993202;963449;2.52428483963;9.33438303429;8;4
dvnd_n4w4in20_94.out;dvnd;150;20304704;1853936;3.8344771862;10.9522141002;20;4
dvnd_n4w4in0_32.out;dvnd;51;31378;10084;1.39726686478;3.11166203887;0;4
dvnd_n4w4in15_50.out;dvnd;124;5587613;3391839;1.07702302933;1.64736976018;15;4
dvnd_n4w4in30_3.out;dvnd;226;13437654;7193640;1.87250900269;1.86799089195;30;4
dvnd_n4w4in3_89.out;dvnd;76;70576;17995;2.51991391182;3.92197832731;3;4
dvnd_n4w4in4_15.out;dvnd;76;4247736;3359587;1.71023797989;1.26436255409;4;4
dvnd_n4w4in6_9.out;dvnd;100;8670796;997893;2.53868079185;8.68910394201;6;4
dvnd_n4w4in0_45.out;dvnd;51;31378;9866;2.09384202957;3.18041759578;0;4
dvnd_n4w4in6_22.out;dvnd;100;8670796;996090;2.82425308228;8.7048318927;6;4
dvnd_n4w4in50_19.out;dvnd;1002;140411101;126808828;6.32219696045;1.10726597836;50;4
dvnd_n4w4in13_19.out;dvnd;105;1633632;591927;1.82082104683;2.75985383333;13;4
dvnd_n4w4in21_7.out;dvnd;150;21691706;1894056;3.7949988842;11.4525156595;21;4
dvnd_n4w4in19_40.out;dvnd;150;3868030;465741;3.89293503761;8.30510949219;19;4
dvnd_n4w4in50_22.out;dvnd;1002;140411101;126307657;6.01480221748;1.11165945387;50;4
dvnd_n4w4in1_64.out;dvnd;52;558778;146666;1.20688819885;3.80986731758;1;4
dvnd_n4w4in45_6.out;dvnd;657;83873134;14773324;8.64642906189;5.67733666438;45;4
dvnd_n4w4in0_48.out;dvnd;51;31378;9665;1.40224719048;3.24655975168;0;4
dvnd_n4w4in4_85.out;dvnd;76;4247736;3365793;0.884684085846;1.26203126574;4;4
dvnd_n4w4in10_84.out;dvnd;100;7680080;965463;3.12922096252;7.9548154616;10;4
dvnd_n4w4in13_50.out;dvnd;105;1633632;592021;1.68083000183;2.75941562884;13;4
dvnd_n4w4in21_98.out;dvnd;150;21691706;1909776;3.73120307922;11.3582462027;21;4
dvnd_n4w4in25_6.out;dvnd;198;1735156;1197781;1.71789288521;1.44864211404;25;4
dvnd_n4w4in11_61.out;dvnd;100;9554316;960837;2.69252896309;9.94374279925;11;4
dvnd_n4w4in41_26.out;dvnd;501;33439101;1974909;10.2187929153;16.9319705364;41;4
dvnd_n4w4in10_43.out;dvnd;100;7680080;1063810;3.34778690338;7.21940948102;10;4
dvnd_n4w4in26_28.out;dvnd;200;36800518;2813648;4.57194590569;13.0792899467;26;4
dvnd_n4w4in50_23.out;dvnd;1002;140411101;124920502;7.75466108322;1.12400365634;50;4
dvnd_n4w4in16_24.out;dvnd;130;3015132;347834;3.24165511131;8.66830729601;16;4
dvnd_n4w4in4_38.out;dvnd;76;4247736;3479618;0.781172037125;1.22074779473;4;4
dvnd_n4w4in18_37.out;dvnd;144;6292213;3829458;1.16306400299;1.64310798029;18;4
dvnd_n4w4in36_10.out;dvnd;400;42523653;2927070;7.22569489479;14.52771987;36;4
dvnd_n4w4in9_58.out;dvnd;100;9661842;974772;2.58814096451;9.91189939801;9;4
dvnd_n4w4in16_93.out;dvnd;130;3015132;351337;2.81629300117;8.58188007526;16;4
dvnd_n4w4in10_33.out;dvnd;100;7680080;975017;2.83092212677;7.87686778795;10;4
dvnd_n4w4in5_92.out;dvnd;99;92473;55494;1.23788499832;1.66636032724;5;4
dvnd_n4w4in34_2.out;dvnd;299;11463442;7112620;3.087651968;1.61170454769;34;4
dvnd_n4w4in20_20.out;dvnd;150;20304704;1814229;3.41558599472;11.1919189915;20;4
dvnd_n4w4in4_79.out;dvnd;76;4247736;3420199;1.71884608269;1.24195580433;4;4
dvnd_n4w4in28_29.out;dvnd;225;26142000;13388462;2.62514710426;1.95257677842;28;4
dvnd_n4w4in23_8.out;dvnd;159;3443982;3020717;1.04289197922;1.14012070644;23;4
dvnd_n4w4in20_53.out;dvnd;150;20304704;1821451;4.26083803177;11.1475433597;20;4
dvnd_n4w4in48_11.out;dvnd;783;28536548;3481570;10.9236030579;8.19645964321;48;4
dvnd_n4w4in4_71.out;dvnd;76;4247736;3456321;1.66975998878;1.22897612809;4;4
dvnd_n4w4in2_11.out;dvnd;70;112766;21006;1.80838990211;5.36827573074;2;4
dvnd_n4w4in1_59.out;dvnd;52;558778;139461;1.62246489525;4.00669721284;1;4
dvnd_n4w4in22_15.out;dvnd;152;12011325;5284752;2.5035738945;2.27282661514;22;4
dvnd_n4w4in10_56.out;dvnd;100;7680080;965054;3.63460993767;7.95818679576;10;4
dvnd_n4w4in11_45.out;dvnd;100;9554316;981247;3.0828230381;9.73691231667;11;4
dvnd_n4w4in23_2.out;dvnd;159;3443982;3055429;1.55916380882;1.12716806707;23;4
dvnd_n4w4in19_27.out;dvnd;150;3868030;453907;3.7779340744;8.52163548921;19;4
dvnd_n4w4in33_18.out;dvnd;280;392877;347541;2.37909293175;1.13044791838;33;4
dvnd_n4w4in12_54.out;dvnd;101;111303;26924;2.45684409142;4.13396969247;12;4
dvnd_n4w4in23_10.out;dvnd;159;3443982;3008381;1.09275317192;1.14479582207;23;4
dvnd_n4w4in3_5.out;dvnd;76;70576;18954;2.03589487076;3.72354120502;3;4
dvnd_n4w4in9_63.out;dvnd;100;9661842;997740;3.45883703232;9.68372722353;9;4
dvnd_n4w4in9_60.out;dvnd;100;9661842;986184;2.64392995834;9.79720011681;9;4
dvnd_n4w4in11_9.out;dvnd;100;9554316;982792;3.75894999504;9.72160538547;11;4
dvnd_n4w4in4_30.out;dvnd;76;4247736;3423180;1.56698203087;1.2408742748;4;4
dvnd_n4w4in0_11.out;dvnd;51;31378;9812;1.1919670105;3.19792091317;0;4
dvnd_n4w4in16_96.out;dvnd;130;3015132;361495;3.73454809189;8.34072947067;16;4
dvnd_n4w4in11_92.out;dvnd;100;9554316;971677;3.26324796677;9.83281069738;11;4
dvnd_n4w4in20_79.out;dvnd;150;20304704;1876076;4.39129114151;10.8229645281;20;4
dvnd_n4w4in5_2.out;dvnd;99;92473;56560;1.87376904488;1.63495403112;5;4
dvnd_n4w4in7_42.out;dvnd;100;2560752;336238;2.68302106857;7.61589112474;7;4
dvnd_n4w4in36_19.out;dvnd;400;42523653;2899738;9.2685251236;14.6646534963;36;4
dvnd_n4w4in13_92.out;dvnd;105;1633632;596886;1.84551596642;2.73692463888;13;4
dvnd_n4w4in15_36.out;dvnd;124;5587613;3405870;1.31080698967;1.64058316965;15;4
dvnd_n4w4in45_11.out;dvnd;657;83873134;15015646;8.20518708229;5.58571599251;45;4
dvnd_n4w4in20_31.out;dvnd;150;20304704;1875532;3.6350839138;10.8261037402;20;4
dvnd_n4w4in48_21.out;dvnd;783;28536548;3383991;9.51554393768;8.43280847969;48;4
dvnd_n4w4in18_99.out;dvnd;144;6292213;4150997;1.33971095085;1.51583173874;18;4
dvnd_n4w4in29_10.out;dvnd;225;830976;398832;3.65229892731;2.08352388976;29;4
dvnd_n4w4in35_10.out;dvnd;318;16801647;5886346;5.67063093185;2.85434240529;35;4
dvnd_n4w4in4_89.out;dvnd;76;4247736;3360656;1.61962080002;1.26396036964;4;4
dvnd_n4w4in3_12.out;dvnd;76;70576;17844;2.49721908569;3.95516700291;3;4
dvnd_n4w4in9_16.out;dvnd;100;9661842;960012;3.08223605156;10.0642929463;9;4
dvnd_n4w4in1_33.out;dvnd;52;558778;140374;1.33794307709;3.98063743998;1;4
dvnd_n4w4in13_82.out;dvnd;105;1633632;611786;1.92543506622;2.67026705417;13;4
dvnd_n4w4in49_24.out;dvnd;1001;134792339;5498112;18.4893510342;24.5161137132;49;4
dvnd_n4w4in5_42.out;dvnd;99;92473;56554;1.70075583458;1.63512748877;5;4
dvnd_n4w4in21_44.out;dvnd;150;21691706;1894550;3.30019307137;11.4495294397;21;4
dvnd_n4w4in13_62.out;dvnd;105;1633632;628802;2.45964288712;2.59800700379;13;4
dvnd_n4w4in21_75.out;dvnd;150;21691706;1841504;3.94046807289;11.7793423202;21;4
dvnd_n4w4in16_92.out;dvnd;130;3015132;349462;2.57271409035;8.62792521075;16;4
dvnd_n4w4in24_10.out;dvnd;195;355421;220080;2.62459516525;1.61496274082;24;4
dvnd_n4w4in1_92.out;dvnd;52;558778;143526;1.61849999428;3.89321795354;1;4
dvnd_n4w4in14_17.out;dvnd;107;2783881;2016761;1.7674241066;1.38037229002;14;4
dvnd_n4w4in14_58.out;dvnd;107;2783881;2019317;1.34179615974;1.37862504996;14;4
dvnd_n4w4in0_33.out;dvnd;51;31378;9918;1.51682400703;3.16374269006;0;4
dvnd_n4w4in18_92.out;dvnd;144;6292213;3829458;1.31257605553;1.64310798029;18;4
dvnd_n4w4in11_84.out;dvnd;100;9554316;967633;3.09560894966;9.87390467254;11;4
dvnd_n4w4in4_13.out;dvnd;76;4247736;3395337;1.22576403618;1.25104989578;4;4
dvnd_n4w4in35_14.out;dvnd;318;16801647;5806782;5.05718517303;2.89345234589;35;4
dvnd_n4w4in18_14.out;dvnd;144;6292213;3834715;2.01011300087;1.64085544819;18;4
dvnd_n4w4in8_72.out;dvnd;100;8993202;963453;2.82946014404;9.33434428042;8;4
dvnd_n4w4in19_3.out;dvnd;150;3868030;449740;4.2451479435;8.60059145284;19;4
dvnd_n4w4in23_9.out;dvnd;159;3443982;3052267;1.36380290985;1.12833575831;23;4
dvnd_n4w4in6_81.out;dvnd;100;8670796;1001605;3.67953705788;8.65690167282;6;4
dvnd_n4w4in12_68.out;dvnd;101;111303;27661;2.75273084641;4.02382415675;12;4
dvnd_n4w4in4_37.out;dvnd;76;4247736;3565848;1.66290783882;1.19122744436;4;4
dvnd_n4w4in12_49.out;dvnd;101;111303;27142;2.2245349884;4.10076633999;12;4
dvnd_n4w4in43_6.out;dvnd;575;3518591;1933076;5.25156903267;1.82020313738;43;4
dvnd_n4w4in16_59.out;dvnd;130;3015132;347922;4.0142159462;8.66611481884;16;4
dvnd_n4w4in6_79.out;dvnd;100;8670796;1006812;2.68004488945;8.61213016929;6;4
dvnd_n4w4in42_15.out;dvnd;574;11685944;9811122;5.00309586525;1.191091498;42;4
dvnd_n4w4in22_20.out;dvnd;152;12011325;5470797;2.59163498878;2.19553476395;22;4
dvnd_n4w4in12_41.out;dvnd;101;111303;27187;2.16068196297;4.09397873984;12;4
dvnd_n4w4in3_96.out;dvnd;76;70576;18114;1.76446700096;3.89621287402;3;4
dvnd_n4w4in6_72.out;dvnd;100;8670796;1002294;3.42282581329;8.65095071905;6;4
dvnd_n4w4in5_30.out;dvnd;99;92473;56885;1.13452219963;1.62561307902;5;4
dvnd_n4w4in25_16.out;dvnd;198;1735156;1211435;2.31585597992;1.43231456909;25;4
dvnd_n4w4in22_2.out;dvnd;152;12011325;5168318;2.2120680809;2.32402979074;22;4
dvnd_n4w4in8_32.out;dvnd;100;8993202;959167;3.45664596558;9.37605443056;8;4
dvnd_n4w4in50_5.out;dvnd;1002;140411101;127328818;6.03074812889;1.10274408579;50;4
dvnd_n4w4in11_69.out;dvnd;100;9554316;961052;2.91605496407;9.94151825291;11;4
dvnd_n4w4in11_20.out;dvnd;100;9554316;967933;3.46192598343;9.87084436629;11;4
dvnd_n4w4in23_24.out;dvnd;159;3443982;2969022;1.95371508598;1.15997186952;23;4
dvnd_n4w4in2_83.out;dvnd;70;112766;20288;2.67489314079;5.55826104101;2;4
dvnd_n4w4in45_8.out;dvnd;657;83873134;15066378;8.98933696747;5.56690758721;45;4
dvnd_n4w4in5_29.out;dvnd;99;92473;56394;2.31814098358;1.63976664184;5;4
dvnd_n4w4in38_13.out;dvnd;439;39111669;18283955;3.11434721947;2.13912520568;38;4
dvnd_n4w4in3_64.out;dvnd;76;70576;18147;2.05534696579;3.88912767951;3;4
dvnd_n4w4in40_20.out;dvnd;493;28640835;7006622;5.38581991196;4.087680911;40;4
dvnd_n4w4in15_1.out;dvnd;124;5587613;3405870;1.74246788025;1.64058316965;15;4
dvnd_n4w4in7_1.out;dvnd;100;2560752;340194;2.26627397537;7.52732852431;7;4
dvnd_n4w4in20_97.out;dvnd;150;20304704;1789993;4.10096502304;11.3434544157;20;4
dvnd_n4w4in13_88.out;dvnd;105;1633632;591710;2.48408412933;2.76086596475;13;4
dvnd_n4w4in2_4.out;dvnd;70;112766;19560;2.37862300873;5.76513292434;2;4
dvnd_n4w4in13_98.out;dvnd;105;1633632;595225;1.49652719498;2.74456214037;13;4
dvnd_n4w4in29_8.out;dvnd;225;830976;399175;3.55606102943;2.0817335755;29;4
dvnd_n4w4in3_41.out;dvnd;76;70576;17538;2.9863038063;4.02417607481;3;4
dvnd_n4w4in11_18.out;dvnd;100;9554316;970312;2.58720684052;9.84664314159;11;4
dvnd_n4w4in29_14.out;dvnd;225;830976;398480;3.3841278553;2.08536438466;29;4
dvnd_n4w4in24_28.out;dvnd;195;355421;215583;2.25085401535;1.64865040379;24;4
dvnd_n4w4in13_2.out;dvnd;105;1633632;613710;1.79692482948;2.66189568363;13;4
dvnd_n4w4in20_14.out;dvnd;150;20304704;1830834;4.02790284157;11.0904123476;20;4
dvnd_n4w4in2_47.out;dvnd;70;112766;19568;1.69891500473;5.76277596075;2;4
dvnd_n4w4in9_97.out;dvnd;100;9661842;973239;3.50103092194;9.92751215272;9;4
dvnd_n4w4in7_21.out;dvnd;100;2560752;335029;3.29464507103;7.64337415567;7;4
dvnd_n4w4in10_0.out;dvnd;100;7680080;969729;3.36826014519;7.91982089842;10;4
dvnd_n4w4in2_62.out;dvnd;70;112766;20050;2.58744621277;5.6242394015;2;4
dvnd_n4w4in23_28.out;dvnd;159;3443982;3027455;1.18919801712;1.13758321759;23;4
dvnd_n4w4in20_35.out;dvnd;150;20304704;1810023;4.17989802361;11.2179259601;20;4
dvnd_n4w4in6_39.out;dvnd;100;8670796;1017214;2.81875085831;8.52406278325;6;4
dvnd_n4w4in2_38.out;dvnd;70;112766;20002;2.26348495483;5.63773622638;2;4
dvnd_n4w4in5_94.out;dvnd;99;92473;57953;1.06087994576;1.59565509982;5;4
dvnd_n4w4in4_95.out;dvnd;76;4247736;3420199;0.757270097733;1.24195580433;4;4
dvnd_n4w4in1_11.out;dvnd;52;558778;134550;1.57566094398;4.15293942772;1;4
dvnd_n4w4in0_93.out;dvnd;51;31378;9867;2.27169585228;3.18009526705;0;4
dvnd_n4w4in13_25.out;dvnd;105;1633632;607259;2.67385101318;2.69017338566;13;4
dvnd_n4w4in9_37.out;dvnd;100;9661842;949127;2.50260305405;10.179714622;9;4
dvnd_n4w4in46_15.out;dvnd;724;58705213;14413861;9.69507288933;4.07283052057;46;4
