"initial";"final";"count";"time";"imp";"inum";"n";"w";"solver";"sample"
"277104438";"14045563";"1757";"12.4149909019";"19.7289662223";"5";"4";"1";"dvnd";"3"
"189008584";"6822102";"647";"3.98398995399";"27.7053295304";"2";"4";"1";"dvnd";"47"
"277754734";"14427497";"1736";"11.9078998566";"19.2517616881";"5";"4";"1";"dvnd";"34"
"8107245";"1017434";"393";"2.49068784714";"7.96832521815";"1";"4";"1";"dvnd";"64"
"91787236";"6026749";"1062";"6.23536801338";"15.2299749002";"3";"4";"1";"dvnd";"35"
"31595296";"2002051";"1562";"10.1044480801";"15.7814641086";"4";"4";"1";"dvnd";"53"
"33187040";"1982389";"1583";"10.2636830807";"16.7409322792";"4";"4";"1";"dvnd";"28"
"91267609";"6096130";"1258";"7.35994791985";"14.9714013645";"3";"4";"1";"dvnd";"57"
"7803586";"956737";"445";"2.6799788475";"8.15645888055";"1";"4";"1";"dvnd";"56"
"98454241";"5851328";"1072";"6.30418205261";"16.8259651484";"3";"4";"1";"dvnd";"42"
"193976412";"6986699";"735";"4.52385115623";"27.763670941";"2";"4";"1";"dvnd";"2"
"194803681";"7078056";"668";"4.26296496391";"27.5222011524";"2";"4";"1";"dvnd";"21"
"7882645";"1024054";"373";"2.46179103851";"7.69748958551";"1";"4";"1";"dvnd";"32"
"130245111";"5464557";"2967";"26.9627478123";"23.8345232743";"7";"4";"1";"dvnd";"23"
"287982321";"14261727";"2082";"14.1989572048";"20.1926681811";"5";"4";"1";"dvnd";"10"
"282310785";"14365480";"1951";"13.683588028";"19.6520258982";"5";"4";"1";"dvnd";"55"
"7804167";"993006";"321";"2.23667502403";"7.85913378167";"1";"4";"1";"dvnd";"27"
"189661360";"6886508";"724";"4.49047398567";"27.5410062691";"2";"4";"1";"dvnd";"24"
"726502";"146739";"228";"1.75205683708";"4.95098099346";"0";"4";"1";"dvnd";"63"
"9118131";"961017";"450";"2.77394604683";"9.48800177312";"1";"4";"1";"dvnd";"91"
"129349234";"5502290";"2992";"27.1892430782";"23.5082545631";"7";"4";"1";"dvnd";"30"
"71882740";"3410411";"2567";"19.5908482075";"21.0774419857";"6";"4";"1";"dvnd";"99"
"278162545";"14203908";"1987";"13.6415951252";"19.5835220138";"5";"4";"1";"dvnd";"37"
"134231002";"5563225";"2763";"25.2814860344";"24.1282712815";"7";"4";"1";"dvnd";"24"
"735736";"146395";"209";"1.59376907349";"5.02569076813";"0";"4";"1";"dvnd";"57"
"194988889";"7184443";"865";"5.21589398384";"27.1404323202";"2";"4";"1";"dvnd";"0"
"7803939";"974152";"358";"2.34503984451";"8.01100752244";"1";"4";"1";"dvnd";"78"
"67331706";"3369506";"2518";"19.1378190517";"19.9826639276";"6";"4";"1";"dvnd";"84"
